timestamp,New ECG Sample
0.0,-117
0.001,-139
0.002,-89
0.003,-111
0.004,-93
0.005,-90
0.006,-126
0.007,-97
0.008,-81
0.009,-106
0.01,-89
0.011,-76
0.012,-87
0.013,-62
0.014,-80
0.015,-66
0.016,-79
0.017,-83
0.018,-97
0.019,-34
0.02,-54
0.021,-58
0.022,-68
0.023,-46
0.024,-25
0.025,-21
0.026,-15
0.027,-36
0.028,-32
0.029,-24
0.03,-49
0.031,-57
0.032,-54
0.033,-13
0.034,-31
0.035,-39
0.036,-20
0.037,-20
0.038,-15
0.039,-1
0.04,-21
0.041,-6
0.042,-23
0.043,-21
0.044,1
0.045,-23
0.046,-7
0.047,-5
0.048,-23
0.049,-15
0.05,-4
0.051,16
0.052,-4
0.053,1
0.054,-7
0.055,3
0.056,-2
0.057,-13
0.058,-6
0.059,-29
0.06,-28
0.061,-18
0.062,-44
0.063,-49
0.064,-15
0.065,-10
0.066,-9
0.067,-53
0.068,3
0.069,-33
0.07,-26
0.071,-30
0.072,-39
0.073,-36
0.074,-37
0.075,-33
0.076,-41
0.077,-34
0.078,-27
0.079,-29
0.08,-63
0.081,-20
0.082,-54
0.083,-52
0.084,-41
0.085,-50
0.086,-44
0.087,-29
0.088,-55
0.089,-65
0.09,-34
0.091,-37
0.092,-56
0.093,-43
0.094,-48
0.095,-60
0.096,-64
0.097,-58
0.098,-72
0.099,-87
0.1,-77
0.101,-76
0.102,-40
0.103,-88
0.104,-80
0.105,-73
0.106,-84
0.107,-94
0.108,-96
0.109,-49
0.11,-76
0.111,-72
0.112,-98
0.113,-81
0.114,-69
0.115,-75
0.116,-83
0.117,-63
0.118,-63
0.119,-32
0.12,-73
0.121,-72
0.122,-65
0.123,-66
0.124,-24
0.125,-67
0.126,-102
0.127,-91
0.128,-81
0.129,-76
0.13,-34
0.131,-43
0.132,-31
0.133,-13
0.134,-5
0.135,19
0.136,24
0.137,20
0.138,34
0.139,53
0.14,102
0.141,168
0.142,226
0.143,261
0.144,301
0.145,368
0.146,413
0.147,495
0.148,586
0.149,663
0.15,722
0.151,700
0.152,627
0.153,507
0.154,383
0.155,250
0.156,188
0.157,84
0.158,-22
0.159,-44
0.16,-60
0.161,-81
0.162,-54
0.163,-36
0.164,-7
0.165,-1
0.166,-14
0.167,23
0.168,28
0.169,50
0.17,70
0.171,90
0.172,112
0.173,70
0.174,67
0.175,63
0.176,66
0.177,92
0.178,115
0.179,125
0.18,137
0.181,140
0.182,165
0.183,184
0.184,198
0.185,232
0.186,222
0.187,216
0.188,208
0.189,188
0.19,211
0.191,212
0.192,224
0.193,229
0.194,217
0.195,211
0.196,188
0.197,192
0.198,186
0.199,244
0.2,260
0.201,239
0.202,243
0.203,235
0.204,221
0.205,179
0.206,173
0.207,163
0.208,144
0.209,148
0.21,142
0.211,138
0.212,195
0.213,223
0.214,278
0.215,303
0.216,313
0.217,308
0.218,288
0.219,254
0.22,211
0.221,184
0.222,227
0.223,204
0.224,212
0.225,219
0.226,229
0.227,249
0.228,286
0.229,267
0.23,290
0.231,261
0.232,264
0.233,251
0.234,270
0.235,298
0.236,331
0.237,322
0.238,309
0.239,310
0.24,286
0.241,286
0.242,288
0.243,283
0.244,298
0.245,293
0.246,306
0.247,300
0.248,303
0.249,316
0.25,309
0.251,290
0.252,302
0.253,269
0.254,243
0.255,202
0.256,180
0.257,204
0.258,158
0.259,141
0.26,106
0.261,71
0.262,62
0.263,73
0.264,70
0.265,28
0.266,15
0.267,29
0.268,-13
0.269,-19
0.27,-3
0.271,7
0.272,-2
0.273,-36
0.274,-81
0.275,-97
0.276,-84
0.277,-102
0.278,-117
0.279,-97
0.28,-96
0.281,-79
0.282,-122
0.283,-90
0.284,-69
0.285,-105
0.286,-72
0.287,-60
0.288,-65
0.289,-47
0.29,-66
0.291,-54
0.292,-47
0.293,-70
0.294,-69
0.295,-82
0.296,-69
0.297,-87
0.298,-94
0.299,-48
0.3,-76
0.301,-48
0.302,-51
0.303,-62
0.304,-70
0.305,-28
0.306,-45
0.307,-36
0.308,-55
0.309,-38
0.31,-47
0.311,-29
0.312,-54
0.313,-43
0.314,-3
0.315,-44
0.316,-24
0.317,2
0.318,-10
0.319,-8
0.32,-11
0.321,-11
0.322,15
0.323,5
0.324,-5
0.325,5
0.326,-7
0.327,10
0.328,13
0.329,24
0.33,35
0.331,21
0.332,38
0.333,19
0.334,8
0.335,15
0.336,35
0.337,70
0.338,42
0.339,65
0.34,58
0.341,72
0.342,69
0.343,53
0.344,55
0.345,56
0.346,83
0.347,57
0.348,72
0.349,70
0.35,63
0.351,87
0.352,88
0.353,73
0.354,91
0.355,77
0.356,97
0.357,100
0.358,84
0.359,98
0.36,109
0.361,98
0.362,100
0.363,91
0.364,89
0.365,80
0.366,95
0.367,100
0.368,68
0.369,99
0.37,82
0.371,109
0.372,82
0.373,98
0.374,102
0.375,140
0.376,86
0.377,113
0.378,82
0.379,114
0.38,95
0.381,97
0.382,104
0.383,87
0.384,103
0.385,125
0.386,95
0.387,78
0.388,87
0.389,75
0.39,94
0.391,86
0.392,93
0.393,116
0.394,73
0.395,84
0.396,89
0.397,80
0.398,67
0.399,75
0.4,81
0.401,61
0.402,65
0.403,67
0.404,67
0.405,94
0.406,43
0.407,80
0.408,38
0.409,59
0.41,65
0.411,49
0.412,34
0.413,53
0.414,28
0.415,39
0.416,43
0.417,30
0.418,23
0.419,11
0.42,18
0.421,48
0.422,11
0.423,9
0.424,-16
0.425,12
0.426,7
0.427,17
0.428,-7
0.429,26
0.43,-1
0.431,-1
0.432,-1
0.433,-23
0.434,-6
0.435,-10
0.436,-21
0.437,-10
0.438,-10
0.439,4
0.44,-28
0.441,-23
0.442,13
0.443,-13
0.444,-8
0.445,6
0.446,-30
0.447,-19
0.448,-28
0.449,-27
0.45,-39
0.451,-8
0.452,-7
0.453,-24
0.454,-23
0.455,-27
0.456,-32
0.457,-23
0.458,-18
0.459,-16
0.46,-24
0.461,-21
0.462,-28
0.463,-27
0.464,-19
0.465,1
0.466,-7
0.467,-37
0.468,-28
0.469,0
0.47,-31
0.471,-4
0.472,-7
0.473,-32
0.474,-13
0.475,-10
0.476,-19
0.477,-7
0.478,-21
0.479,-20
0.48,-11
0.481,-22
0.482,-29
0.483,4
0.484,-10
0.485,-12
0.486,0
0.487,-23
0.488,-17
0.489,-16
0.49,18
0.491,-20
0.492,-13
0.493,-17
0.494,26
0.495,0
0.496,22
0.497,-10
0.498,-12
0.499,8
0.5,10
0.501,-10
0.502,-10
0.503,0
0.504,9
0.505,11
0.506,0
0.507,5
0.508,23
0.509,6
0.51,23
0.511,15
0.512,3
0.513,15
0.514,-1
0.515,17
0.516,55
0.517,31
0.518,21
0.519,28
0.52,36
0.521,19
0.522,17
0.523,19
0.524,6
0.525,43
0.526,-19
0.527,-14
0.528,-11
0.529,7
0.53,25
0.531,37
0.532,37
0.533,52
0.534,50
0.535,102
0.536,64
0.537,37
0.538,55
0.539,65
0.54,55
0.541,38
0.542,31
0.543,10
0.544,28
0.545,15
0.546,2
0.547,32
0.548,36
0.549,42
0.55,47
0.551,22
0.552,66
0.553,66
0.554,88
0.555,97
0.556,146
0.557,149
0.558,198
0.559,243
0.56,281
0.561,320
0.562,352
0.563,408
0.564,426
0.565,468
0.566,486
0.567,516
0.568,550
0.569,580
0.57,593
0.571,599
0.572,612
0.573,611
0.574,598
0.575,583
0.576,552
0.577,520
0.578,451
0.579,403
0.58,357
0.581,300
0.582,235
0.583,185
0.584,130
0.585,105
0.586,80
0.587,23
0.588,29
0.589,4
0.59,-14
0.591,-30
0.592,-19
0.593,-32
0.594,-16
0.595,12
0.596,9
0.597,34
0.598,29
0.599,37
0.6,50
0.601,51
0.602,65
0.603,62
0.604,67
0.605,45
0.606,55
0.607,89
0.608,79
0.609,48
0.61,69
0.611,82
0.612,68
0.613,101
0.614,106
0.615,116
0.616,107
0.617,122
0.618,92
0.619,95
0.62,77
0.621,92
0.622,67
0.623,77
0.624,86
0.625,98
0.626,97
0.627,93
0.628,92
0.629,105
0.63,91
0.631,125
0.632,116
0.633,94
0.634,98
0.635,91
0.636,89
0.637,93
0.638,92
0.639,110
0.64,109
0.641,104
0.642,149
0.643,158
0.644,146
0.645,143
0.646,134
0.647,127
0.648,117
0.649,115
0.65,107
0.651,85
0.652,79
0.653,89
0.654,91
0.655,81
0.656,95
0.657,87
0.658,102
0.659,89
0.66,77
0.661,104
0.662,87
0.663,117
0.664,83
0.665,105
0.666,104
0.667,106
0.668,121
0.669,120
0.67,140
0.671,128
0.672,138
0.673,105
0.674,102
0.675,111
0.676,106
0.677,62
0.678,78
0.679,56
0.68,56
0.681,49
0.682,60
0.683,76
0.684,94
0.685,78
0.686,93
0.687,88
0.688,130
