timestamp,New ECG Sample
0.0,208
0.001,224
0.002,238
0.003,212
0.004,126
0.005,120
0.006,28
0.007,21
0.008,68
0.009,111
0.01,172
0.011,254
0.012,313
0.013,298
0.014,300
0.015,286
0.016,230
0.017,223
0.018,219
0.019,228
0.02,247
0.021,249
0.022,245
0.023,211
0.024,131
0.025,122
0.026,93
0.027,81
0.028,53
0.029,89
0.03,106
0.031,109
0.032,143
0.033,125
0.034,116
0.035,148
0.036,137
0.037,141
0.038,140
0.039,123
0.04,119
0.041,132
0.042,163
0.043,200
0.044,213
0.045,202
0.046,182
0.047,113
0.048,92
0.049,72
0.05,91
0.051,133
0.052,232
0.053,294
0.054,309
0.055,362
0.056,336
0.057,329
0.058,250
0.059,233
0.06,221
0.061,165
0.062,81
0.063,62
0.064,26
0.065,-28
0.066,8
0.067,33
0.068,58
0.069,134
0.07,217
0.071,277
0.072,292
0.073,342
0.074,349
0.075,280
0.076,196
0.077,106
0.078,79
0.079,7
0.08,18
0.081,19
0.082,26
0.083,61
0.084,107
0.085,106
0.086,168
0.087,199
0.088,252
0.089,304
0.09,296
0.091,279
0.092,263
0.093,233
0.094,177
0.095,184
0.096,170
0.097,156
0.098,140
0.099,96
0.1,44
0.101,42
0.102,30
0.103,71
0.104,73
0.105,93
0.106,120
0.107,139
0.108,112
0.109,121
0.11,129
0.111,153
0.112,138
0.113,160
0.114,185
0.115,190
0.116,241
0.117,241
0.118,240
0.119,238
0.12,222
0.121,155
0.122,119
0.123,53
0.124,41
0.125,28
0.126,54
0.127,42
0.128,93
0.129,98
0.13,121
0.131,198
0.132,249
0.133,262
0.134,274
0.135,294
0.136,264
0.137,214
0.138,174
0.139,149
0.14,139
0.141,130
0.142,118
0.143,122
0.144,127
0.145,109
0.146,83
0.147,116
0.148,81
0.149,69
0.15,9
0.151,34
0.152,11
0.153,10
0.154,105
0.155,142
0.156,159
0.157,195
0.158,180
0.159,158
0.16,152
0.161,119
0.162,180
0.163,171
0.164,177
0.165,226
0.166,204
0.167,137
0.168,153
0.169,186
0.17,149
0.171,146
0.172,162
0.173,142
0.174,92
0.175,47
0.176,-25
0.177,-25
0.178,-15
0.179,79
0.18,118
0.181,219
0.182,269
0.183,238
0.184,203
0.185,161
0.186,124
0.187,61
0.188,34
0.189,28
0.19,51
0.191,89
0.192,121
0.193,132
0.194,190
0.195,178
0.196,151
0.197,124
0.198,105
0.199,112
0.2,80
0.201,76
0.202,81
0.203,127
0.204,110
0.205,110
0.206,120
0.207,134
0.208,122
0.209,121
0.21,187
0.211,169
0.212,164
0.213,139
0.214,117
0.215,68
0.216,57
0.217,33
0.218,56
0.219,51
0.22,139
0.221,139
0.222,170
0.223,184
0.224,145
0.225,102
0.226,-28
0.227,-100
0.228,-130
0.229,-112
0.23,4
0.231,78
0.232,158
0.233,251
0.234,282
0.235,256
0.236,178
0.237,120
0.238,78
0.239,34
0.24,73
0.241,89
0.242,115
0.243,111
0.244,135
0.245,161
0.246,181
0.247,148
0.248,128
0.249,136
0.25,158
0.251,163
0.252,147
0.253,113
0.254,87
0.255,47
0.256,10
0.257,-53
0.258,-69
0.259,-57
0.26,-43
0.261,27
0.262,68
0.263,131
0.264,158
0.265,188
0.266,183
0.267,132
0.268,103
0.269,45
0.27,91
0.271,114
0.272,155
0.273,170
0.274,134
0.275,85
0.276,5
0.277,-54
0.278,-66
0.279,-61
0.28,-11
0.281,58
0.282,155
0.283,203
0.284,219
0.285,228
0.286,196
0.287,135
0.288,90
0.289,112
0.29,84
0.291,56
0.292,35
0.293,34
0.294,0
0.295,13
0.296,0
0.297,31
0.298,7
0.299,34
0.3,9
0.301,-20
0.302,10
0.303,48
0.304,100
0.305,141
0.306,159
0.307,186
0.308,191
0.309,142
0.31,191
0.311,137
0.312,107
0.313,143
0.314,145
0.315,102
0.316,117
0.317,76
0.318,76
0.319,10
0.32,-7
0.321,-28
0.322,-29
0.323,-16
0.324,14
0.325,19
0.326,23
0.327,-5
0.328,-1
0.329,24
0.33,23
0.331,53
0.332,127
0.333,129
0.334,185
0.335,194
0.336,182
0.337,187
0.338,139
0.339,113
0.34,79
0.341,21
0.342,26
0.343,-1
0.344,2
0.345,-17
0.346,36
0.347,64
0.348,44
0.349,65
0.35,58
0.351,55
0.352,98
0.353,129
