timestamp,New ECG Sample
0.0,-7
0.001,-19
0.002,-12
0.003,-22
0.004,-5
0.005,-5
0.006,10
0.007,15
0.008,16
0.009,14
0.01,27
0.011,22
0.012,19
0.013,-2
0.014,7
0.015,-9
0.016,-6
0.017,-12
0.018,-27
0.019,-21
0.02,-2
0.021,-15
0.022,-3
0.023,-2
0.024,10
0.025,1
0.026,16
0.027,5
0.028,-2
0.029,-3
0.03,-19
0.031,-3
0.032,-15
0.033,-16
0.034,-9
0.035,-8
0.036,5
0.037,-2
0.038,12
0.039,14
0.04,25
0.041,19
0.042,20
0.043,10
0.044,-3
0.045,20
0.046,9
0.047,-10
0.048,-10
0.049,1
0.05,-3
0.051,-5
0.052,3
0.053,12
0.054,16
0.055,21
0.056,19
0.057,19
0.058,19
0.059,25
0.06,23
0.061,9
0.062,6
0.063,6
0.064,-4
0.065,13
0.066,17
0.067,24
0.068,2
0.069,23
0.07,23
0.071,41
0.072,32
0.073,13
0.074,18
0.075,14
0.076,-2
0.077,17
0.078,8
0.079,-9
0.08,7
0.081,5
0.082,3
0.083,14
0.084,13
0.085,12
0.086,1
0.087,22
0.088,11
0.089,5
0.09,13
0.091,-6
0.092,8
0.093,8
0.094,-7
0.095,-5
0.096,-8
0.097,0
0.098,-7
0.099,3
0.1,-6
0.101,-12
0.102,1
0.103,-1
0.104,-8
0.105,-10
0.106,-18
0.107,-21
0.108,-26
0.109,-23
0.11,-20
0.111,-21
0.112,-14
0.113,-12
0.114,-5
0.115,5
0.116,8
0.117,10
0.118,20
0.119,17
0.12,22
0.121,15
0.122,17
0.123,9
0.124,9
0.125,0
0.126,3
0.127,6
0.128,7
0.129,19
0.13,23
0.131,19
0.132,12
0.133,13
0.134,8
0.135,14
0.136,9
0.137,-2
0.138,-10
0.139,-1
0.14,-17
0.141,-11
0.142,-12
0.143,-12
0.144,-9
0.145,0
0.146,12
0.147,10
0.148,26
0.149,22
0.15,9
0.151,-3
0.152,7
0.153,-14
0.154,-7
0.155,-14
0.156,-6
0.157,-9
0.158,-12
0.159,0
0.16,6
0.161,5
0.162,14
0.163,7
0.164,18
0.165,12
0.166,14
0.167,15
0.168,1
0.169,5
0.17,-2
0.171,7
0.172,2
0.173,-1
0.174,3
0.175,22
0.176,20
0.177,19
0.178,38
0.179,34
0.18,44
0.181,40
0.182,37
0.183,44
0.184,23
0.185,20
0.186,15
0.187,11
0.188,8
0.189,21
0.19,11
0.191,16
0.192,23
0.193,23
0.194,19
0.195,19
0.196,16
0.197,7
0.198,4
0.199,-5
0.2,-4
0.201,0
0.202,-1
0.203,2
0.204,-3
0.205,10
0.206,22
0.207,14
0.208,14
0.209,23
0.21,24
0.211,28
0.212,18
0.213,14
0.214,-1
0.215,10
0.216,3
0.217,1
0.218,16
0.219,20
0.22,18
0.221,33
0.222,45
0.223,49
0.224,45
0.225,40
0.226,42
0.227,41
0.228,24
0.229,9
0.23,11
0.231,-5
0.232,-19
0.233,-32
0.234,-28
0.235,-26
0.236,-23
0.237,-19
0.238,-11
0.239,7
0.24,-1
0.241,7
0.242,28
0.243,28
0.244,30
0.245,38
0.246,45
0.247,40
0.248,62
0.249,66
0.25,44
0.251,66
0.252,63
0.253,53
0.254,42
0.255,41
0.256,34
0.257,22
0.258,9
0.259,8
0.26,-2
0.261,-14
0.262,-6
0.263,-10
0.264,-12
0.265,-11
0.266,2
0.267,6
0.268,17
0.269,16
0.27,42
0.271,39
0.272,48
0.273,48
0.274,43
0.275,30
0.276,25
0.277,29
0.278,14
0.279,22
0.28,24
0.281,24
0.282,20
0.283,22
0.284,40
0.285,35
0.286,30
0.287,35
0.288,32
0.289,45
0.29,25
0.291,31
0.292,32
0.293,29
0.294,37
0.295,50
0.296,41
0.297,54
0.298,61
0.299,66
0.3,77
0.301,79
0.302,84
0.303,85
0.304,81
0.305,77
0.306,74
0.307,70
0.308,53
0.309,40
0.31,47
0.311,36
0.312,33
0.313,39
0.314,38
0.315,45
0.316,64
0.317,54
0.318,62
0.319,78
0.32,75
0.321,84
0.322,86
0.323,94
0.324,102
0.325,106
0.326,113
0.327,112
0.328,123
0.329,130
0.33,141
0.331,142
0.332,128
0.333,125
0.334,119
0.335,104
0.336,102
0.337,90
0.338,86
0.339,73
0.34,69
0.341,67
0.342,78
0.343,70
0.344,77
0.345,89
0.346,88
0.347,99
0.348,83
0.349,87
0.35,73
0.351,73
0.352,47
0.353,44
0.354,26
0.355,27
0.356,22
0.357,36
0.358,19
0.359,27
0.36,36
0.361,33
0.362,50
0.363,41
0.364,40
0.365,27
0.366,29
0.367,34
0.368,15
0.369,7
0.37,-12
0.371,-14
0.372,-20
0.373,-25
0.374,-20
0.375,-26
0.376,-14
0.377,-22
0.378,-29
0.379,-7
0.38,-28
0.381,-22
0.382,-25
0.383,-20
0.384,-20
0.385,-20
0.386,-7
0.387,-6
0.388,8
0.389,18
0.39,30
0.391,26
0.392,30
0.393,42
0.394,28
0.395,24
0.396,25
0.397,14
0.398,9
0.399,2
0.4,-13
0.401,7
0.402,-1
0.403,14
0.404,16
0.405,32
0.406,25
0.407,36
0.408,42
0.409,40
0.41,49
0.411,53
0.412,51
0.413,42
0.414,49
0.415,47
0.416,51
0.417,55
0.418,71
0.419,84
0.42,111
0.421,135
0.422,143
0.423,171
0.424,186
0.425,214
0.426,228
0.427,255
0.428,280
0.429,298
0.43,319
0.431,330
0.432,343
0.433,352
0.434,354
0.435,355
0.436,336
0.437,322
0.438,293
0.439,279
0.44,251
0.441,215
0.442,179
0.443,145
0.444,99
0.445,72
0.446,53
0.447,26
0.448,15
0.449,4
0.45,6
0.451,5
0.452,12
0.453,24
0.454,16
0.455,24
0.456,34
0.457,16
0.458,12
0.459,22
0.46,12
0.461,8
0.462,4
0.463,18
0.464,30
0.465,26
0.466,31
0.467,48
0.468,60
0.469,70
0.47,71
0.471,77
0.472,81
0.473,67
0.474,72
0.475,79
0.476,60
0.477,58
0.478,52
0.479,62
0.48,61
0.481,57
0.482,67
0.483,62
0.484,67
0.485,65
0.486,64
0.487,59
0.488,65
0.489,66
0.49,67
0.491,65
0.492,58
0.493,52
0.494,58
0.495,52
0.496,50
0.497,43
0.498,53
0.499,46
0.5,54
0.501,47
0.502,27
0.503,48
0.504,18
0.505,33
0.506,25
0.507,44
0.508,45
0.509,49
0.51,63
0.511,65
0.512,82
0.513,68
0.514,81
0.515,79
0.516,69
0.517,68
0.518,54
0.519,45
0.52,37
0.521,21
0.522,25
0.523,6
0.524,19
0.525,13
0.526,16
0.527,26
0.528,31
0.529,35
0.53,55
0.531,57
0.532,71
0.533,59
0.534,72
0.535,76
0.536,81
0.537,74
0.538,86
0.539,91
0.54,92
0.541,98
0.542,112
0.543,123
0.544,121
0.545,115
0.546,126
0.547,123
0.548,126
0.549,110
0.55,107
0.551,112
0.552,108
0.553,93
0.554,93
0.555,94
0.556,102
0.557,112
0.558,120
0.559,129
0.56,130
0.561,138
0.562,142
0.563,130
0.564,115
0.565,112
0.566,104
0.567,90
0.568,63
0.569,70
0.57,58
0.571,42
0.572,41
0.573,56
0.574,53
0.575,63
0.576,46
0.577,58
0.578,70
0.579,73
0.58,80
0.581,75
0.582,78
0.583,69
0.584,81
0.585,88
0.586,92
0.587,95
0.588,110
0.589,119
0.59,139
0.591,150
0.592,153
0.593,158
0.594,158
0.595,152
0.596,155
0.597,155
0.598,147
0.599,135
0.6,144
0.601,136
0.602,141
0.603,139
0.604,146
0.605,140
0.606,151
0.607,151
0.608,147
0.609,150
0.61,146
0.611,153
0.612,157
0.613,166
0.614,170
0.615,176
0.616,186
0.617,206
0.618,218
0.619,235
0.62,235
0.621,252
0.622,259
0.623,263
0.624,252
0.625,259
0.626,251
0.627,245
0.628,236
0.629,220
0.63,232
0.631,228
0.632,226
0.633,218
0.634,223
0.635,232
0.636,245
0.637,236
0.638,235
0.639,233
0.64,243
0.641,238
0.642,231
0.643,230
0.644,243
0.645,242
0.646,254
0.647,257
0.648,260
0.649,286
0.65,276
0.651,278
0.652,299
0.653,304
0.654,304
0.655,302
0.656,303
0.657,290
0.658,293
0.659,283
0.66,282
0.661,279
0.662,275
0.663,286
0.664,294
0.665,282
0.666,303
0.667,300
0.668,307
0.669,309
0.67,310
0.671,305
0.672,294
