timestamp,New ECG Sample
3212.50905,-73
3212.510045,-40
3212.511033,-11
3212.51205,18
3212.513056,26
3212.514051,21
3212.515069,26
3212.516059,41
3212.51708,26
3212.518066,-9
3212.519044,-36
3212.520122,-51
3212.521062,-62
3212.52205,-68
3212.523065,-72
3212.52404,-76
3212.525075,-66
3212.52606,-40
3212.527059,-12
3212.528046,25
3212.529043,60
3212.530039,78
3212.531045,74
3212.532028,50
3212.533046,5
3212.534076,-37
3212.535047,-48
3212.536071,-67
3212.537094,-80
3212.538078,-64
3212.539057,-33
3212.540037,-26
3212.541059,-26
3212.542112,-25
3212.543079,-31
3212.544038,-30
3212.545059,-30
3212.546058,-17
3212.54703,6
3212.548041,21
3212.549037,3
3212.550035,-41
3212.551075,-92
3212.552053,-126
3212.553059,-123
3212.554089,-106
3212.555072,-93
3212.556038,-73
3212.557046,-49
3212.558046,-20
3212.55907,22
3212.560047,42
3212.56102,35
3212.562092,35
3212.563046,37
3212.564044,24
3212.565056,16
3212.566033,19
3212.567048,10
3212.568077,-30
3212.569066,-78
3212.570093,-97
3212.571054,-109
3212.572059,-111
3212.573048,-102
3212.574036,-85
3212.575028,-56
3212.576122,-38
3212.577036,-22
3212.578051,-3
3212.579047,25
3212.580053,48
3212.581021,59
3212.582025,54
3212.583038,41
3212.584041,19
3212.585053,-3
3212.586054,-28
3212.587048,-58
3212.588069,-81
3212.589039,-94
3212.590041,-96
3212.591068,-70
3212.592096,-29
3212.593091,-18
3212.594033,-2
3212.595032,32
3212.59604,71
3212.597049,102
3212.598092,117
3212.599044,113
3212.60002,96
3212.60103,51
3212.602046,-16
3212.603067,-83
3212.6041,-134
3212.605043,-167
3212.606054,-176
3212.607054,-153
3212.608029,-109
3212.609046,-62
3212.610039,-36
3212.611036,-21
3212.612026,-2
3212.61305,36
3212.614053,70
3212.615018,92
3212.61602,78
3212.617036,37
3212.618044,-8
3212.619095,-32
3212.620082,-23
3212.621046,-7
3212.622048,-24
3212.623033,-40
3212.624045,-20
3212.625062,17
3212.626049,27
3212.627035,14
3212.628058,-3
3212.629052,6
3212.630041,18
3212.631025,22
3212.632029,29
3212.633017,32
3212.634028,28
3212.635028,9
3212.636058,-30
3212.637091,-69
3212.638037,-97
3212.639054,-118
3212.640036,-118
3212.641064,-92
3212.642033,-37
3212.643024,41
3212.64405,120
3212.64503,164
3212.646037,175
3212.647024,172
3212.648007,151
3212.64902,118
3212.650028,91
3212.650994,68
3212.652023,48
3212.653041,16
3212.654051,-24
3212.655035,-40
3212.65603,-31
3212.657013,-14
3212.658051,10
3212.659031,29
3212.660028,44
3212.661026,51
3212.662043,47
3212.663008,68
3212.664043,115
3212.665014,136
3212.666009,124
3212.667021,92
3212.668008,42
3212.669014,11
3212.670061,-6
3212.671035,-22
3212.672043,-38
3212.673017,-28
3212.674034,-5
3212.675013,22
3212.676017,56
3212.677036,95
3212.678067,126
3212.679029,155
3212.680003,167
3212.680997,152
3212.682014,131
3212.683019,100
3212.684009,52
3212.685014,-8
3212.686151,-65
3212.687336,-103
3212.688205,-117
3212.689037,-103
3212.690029,-66
3212.69103,-19
3212.692011,14
3212.69302,32
3212.694016,55
3212.695032,98
3212.696071,113
3212.697046,81
3212.698029,37
3212.699042,-6
3212.700015,-50
3212.701014,-90
3212.702021,-116
3212.70303,-104
3212.704042,-71
3212.705038,-58
3212.70603,-74
3212.707036,-87
3212.708058,-72
3212.709019,-39
3212.710025,4
3212.711045,40
3212.712059,51
3212.713062,44
3212.714013,39
3212.71506,52
3212.716009,71
3212.717022,65
3212.71801,48
3212.719014,37
3212.719984,10
3212.721031,-46
3212.722027,-84
3212.723027,-104
3212.724025,-125
3212.725012,-124
3212.726034,-103
3212.72703,-71
3212.728023,-30
3212.729013,-7
3212.730002,8
3212.73102,7
3212.732015,-13
3212.733028,-31
3212.734017,-44
3212.735014,-45
3212.73602,-32
3212.737015,-19
3212.73804,-36
3212.739046,-77
3212.740045,-107
3212.740999,-113
3212.7423,-97
3212.743041,-74
3212.74404,-49
3212.745029,-25
3212.746009,-7
3212.747037,19
3212.748001,49
3212.749025,63
3212.75005,59
3212.751038,42
3212.752051,14
3212.753012,-25
3212.754002,-59
3212.755029,-79
3212.756047,-83
3212.757035,-81
3212.758029,-54
3212.759048,-29
3212.760006,-11
3212.761031,22
3212.762026,79
3212.763032,133
3212.764034,165
3212.764991,170
3212.766023,163
3212.767018,154
3212.768012,147
3212.769017,154
3212.770028,152
3212.771028,139
3212.772026,125
3212.773044,130
3212.774034,153
3212.775032,190
3212.776026,248
3212.777015,317
3212.778015,366
3212.779048,410
3212.780033,444
3212.781035,456
3212.782025,429
3212.783035,361
3212.784048,268
3212.785037,181
3212.786036,131
3212.78701,114
3212.788019,98
3212.789033,74
3212.79003,47
3212.791035,8
3212.792092,-34
3212.79302,-72
3212.794064,-100
3212.795041,-121
3212.796031,-144
3212.797029,-164
3212.798015,-180
3212.799011,-193
3212.800018,-213
3212.801029,-235
3212.801999,-252
3212.80302,-258
3212.804014,-247
3212.804995,-238
3212.806038,-222
3212.807059,-199
3212.808049,-195
3212.80907,-197
3212.810022,-171
3212.811022,-119
3212.812068,-71
3212.813031,-17
3212.814035,18
3212.815012,19
3212.816015,15
3212.817046,10
3212.81803,-12
3212.819018,-46
3212.820066,-59
3212.821033,-60
3212.822009,-57
3212.823054,-48
3212.824058,-21
3212.825286,20
3212.82631,53
3212.827262,82
3212.828259,100
3212.829259,122
3212.830255,156
3212.831251,143
3212.832265,106
3212.833264,80
3212.83428,51
3212.835289,17
3212.836264,-24
3212.837244,-45
3212.838264,-51
3212.839252,-49
3212.840263,-58
3212.841251,-70
3212.8423,-67
3212.843263,-40
3212.84427,-15
3212.845225,11
3212.846241,49
3212.847255,71
3212.848247,78
3212.849214,73
3212.850212,64
3212.851221,53
3212.852243,31
3212.853291,-8
3212.854209,-45
3212.855226,-58
3212.85623,-66
3212.857212,-84
3212.858202,-92
3212.859215,-65
3212.860179,-10
3212.861203,36
3212.862212,58
3212.8632,68
3212.86419,86
3212.865204,106
3212.866196,107
3212.867195,77
3212.868183,26
3212.869183,-34
3212.870193,-87
3212.871188,-112
3212.872156,-112
3212.873172,-109
3212.874166,-102
3212.875152,-75
3212.876169,-35
3212.877163,14
3212.878154,59
3212.879146,98
3212.880162,126
3212.881165,119
3212.882174,74
3212.883155,34
3212.884139,14
3212.885159,7
3212.886172,-10
3212.88715,-41
3212.888141,-68
3212.889151,-80
3212.890162,-76
3212.891138,-46
3212.892123,6
3212.893176,50
3212.894155,69
3212.895134,89
3212.896153,122
3212.897199,152
3212.898126,173
3212.899133,145
3212.900157,83
3212.901134,35
3212.902138,19
3212.90313,15
3212.904155,21
3212.90512,25
3212.906142,20
3212.907126,9
3212.908128,12
3212.909136,34
3212.910153,50
3212.911109,81
3212.912114,131
3212.913107,155
3212.914103,143
3212.9151,112
3212.916095,74
3212.917084,40
3212.918099,6
3212.919075,-34
3212.9201,-52
3212.921093,-42
3212.922073,-10
3212.923063,4
3212.924098,14
3212.925074,40
3212.92608,70
3212.927063,86
3212.928048,116
3212.929063,155
3212.930066,183
3212.931069,188
3212.932052,154
3212.933049,113
3212.934028,85
3212.935067,51
3212.936069,29
3212.937037,3
3212.938041,-40
3212.939055,-72
3212.940041,-71
3212.94106,-56
3212.94204,-28
3212.943039,24
3212.944061,73
3212.945067,118
3212.94606,153
3212.947025,175
3212.948035,177
3212.949017,157
3212.950025,125
3212.951018,99
3212.952032,68
3212.953012,41
3212.954024,33
3212.955019,38
3212.956044,49
3212.957016,50
3212.958024,47
3212.959023,60
3212.960024,83
3212.961,105
3212.961994,127
3212.963016,145
3212.964038,152
3212.965011,151
3212.966036,144
3212.967021,125
3212.968033,109
3212.969036,90
3212.970079,70
3212.971008,59
3212.972034,59
3212.973029,70
3212.974046,96
3212.975035,124
3212.976015,142
3212.977029,152
3212.978041,169
3212.979018,214
3212.980043,269
3212.981038,293
3212.982043,291
3212.983023,258
3212.984023,206
3212.985032,152
3212.986024,104
3212.987003,73
3212.988007,69
3212.989053,93
3212.990021,124
3212.991033,148
3212.992027,186
3212.993032,219
3212.994016,230
3212.995009,244
3212.996,254
3212.997019,258
3212.99802,253
3212.999048,257
3213.000031,261
3213.001028,240
3213.002029,207
3213.003005,171
3213.004008,134
3213.005003,110
3213.006052,103
3213.007063,109
3213.00805,133
3213.009011,170
3213.010022,200
3213.011056,224
3213.012009,258
3213.013025,293
3213.014019,311
3213.015023,316
3213.016024,303
3213.017036,271
3213.018035,228
3213.019022,169
3213.020011,128
3213.021042,125
3213.022004,136
3213.023029,134
3213.024015,128
3213.025031,139
3213.026023,172
3213.027006,209
3213.028037,256
3213.029027,306
3213.030009,345
3213.031033,355
3213.032026,344
3213.033039,332
3213.03405,305
3213.035021,263
3213.036042,237
3213.037027,221
3213.03804,197
3213.039038,191
3213.040037,203
3213.041039,231
3213.042036,245
3213.043017,243
3213.044032,231
3213.045036,223
3213.046011,246
3213.047006,273
3213.048068,285
3213.049049,271
3213.050027,208
3213.051047,142
3213.052034,95
3213.053033,65
3213.05404,55
3213.055035,52
3213.056052,45
3213.057038,39
3213.058015,44
3213.059027,53
3213.060008,77
3213.061014,108
3213.062024,139
3213.062987,154
3213.064011,152
3213.065042,155
3213.066051,146
3213.067041,105
3213.068048,50
3213.069014,-2
3213.070015,-60
3213.071025,-107
3213.072023,-119
3213.07301,-110
3213.073999,-99
3213.075014,-78
3213.076017,-52
3213.077041,-14
3213.07804,28
3213.078991,59
3213.080001,84
3213.081058,81
3213.08208,43
3213.083043,-11
3213.084039,-74
3213.085028,-126
3213.086026,-160
3213.087058,-179
3213.088045,-182
3213.089036,-169
3213.090036,-156
3213.09103,-138
3213.092027,-132
3213.093071,-130
3213.094636,-101
3213.09559,-50
3213.096025,-2
3213.097024,34
3213.098019,48
3213.099049,39
3213.100058,-3
3213.101043,-53
3213.102042,-94
3213.103009,-114
3213.104033,-125
3213.105023,-140
3213.106038,-150
3213.107037,-164
3213.108027,-180
3213.109024,-175
3213.110038,-151
3213.111081,-117
3213.112055,-76
3213.113035,-49
3213.114012,-36
3213.115058,-45
3213.116036,-75
3213.117097,-107
3213.118044,-146
3213.119049,-162
3213.120068,-164
3213.121059,-173
3213.122028,-189
3213.123035,-204
3213.124043,-201
3213.125024,-184
3213.126034,-165
3213.127074,-142
3213.128046,-96
3213.129028,-51
3213.13004,-33
3213.131035,-43
3213.13213,-84
3213.133044,-137
3213.134057,-161
3213.135058,-170
3213.136024,-167
3213.137062,-165
3213.138022,-177
3213.139041,-195
3213.140025,-206
3213.141642,-194
3213.14206,-158
3213.143032,-126
3213.144041,-113
3213.145016,-105
3213.146029,-88
3213.147046,-76
3213.148041,-87
3213.149011,-103
3213.150045,-106
3213.151042,-119
3213.152034,-153
3213.153045,-183
3213.154023,-207
3213.155033,-232
3213.156032,-245
3213.157722,-241
3213.158032,-198
3213.159023,-127
3213.160023,-66
3213.16103,-28
3213.162027,-24
3213.163036,-34
3213.16414,-38
3213.165012,-39
3213.166008,-38
3213.16705,-46
3213.168043,-87
3213.169026,-147
3213.170036,-190
3213.171037,-211
3213.17203,-222
3213.173045,-211
3213.174028,-194
3213.175044,-169
3213.176042,-126
3213.177035,-88
3213.178027,-68
3213.179039,-56
3213.180025,-56
3213.181063,-56
3213.182018,-59
3213.18304,-68
3213.184045,-99
3213.185052,-143
3213.186046,-193
3213.187048,-222
3213.188043,-230
3213.189058,-217
3213.190034,-199
3213.191044,-179
3213.19204,-151
3213.193013,-115
3213.194012,-73
3213.195027,-47
3213.196049,-57
3213.197042,-84
3213.198013,-95
3213.199012,-97
3213.200021,-117
3213.201036,-142
3213.202055,-152
3213.203046,-157
3213.204045,-165
3213.205045,-186
3213.206037,-208
3213.207046,-212
3213.208024,-200
3213.209026,-168
3213.210032,-125
3213.211025,-84
