timestamp,New ECG Sample
3954.520767,167
3954.521745,197
3954.522762,205
3954.523765,210
3954.524821,198
3954.525762,175
3954.526753,180
3954.527767,154
3954.528808,95
3954.529746,75
3954.530785,90
3954.531783,80
3954.532767,29
3954.533746,-12
3954.53475,18
3954.535826,107
3954.536732,196
3954.537751,228
3954.538742,202
3954.539752,185
3954.540759,214
3954.54173,246
3954.542733,250
3954.543746,199
3954.544765,128
3954.545775,80
3954.546775,43
3954.547759,21
3954.548773,29
3954.549726,48
3954.550892,75
3954.55182,121
3954.552745,183
3954.553745,238
3954.554783,275
3954.555743,278
3954.556716,247
3954.557742,228
3954.558747,231
3954.559756,200
3954.56074,118
3954.561739,59
3954.562758,35
3954.563759,59
3954.564739,114
3954.565733,150
3954.566738,166
3954.567775,187
3954.568754,224
3954.569772,263
3954.570769,274
3954.571743,260
3954.572748,251
3954.573752,248
3954.574756,243
3954.575731,237
3954.576739,222
3954.577816,215
3954.578722,207
3954.579773,203
3954.580754,193
3954.581752,161
3954.582769,112
3954.583767,86
3954.584748,112
3954.585742,167
3954.586743,248
3954.587755,306
3954.588757,300
3954.589713,262
3954.590734,218
3954.591736,181
3954.592733,167
3954.593727,179
3954.594715,190
3954.595707,207
3954.596772,224
3954.597798,235
3954.598777,230
3954.600565,184
3954.600762,129
3954.601749,100
3954.602768,120
3954.60374,162
3954.604755,213
3954.605741,250
3954.606718,260
3954.607737,248
3954.608763,253
3954.609803,250
3954.610741,216
3954.611723,155
3954.612743,113
3954.613737,101
3954.614734,103
3954.61575,113
3954.616741,116
3954.617732,149
3954.618751,227
3954.619748,286
3954.620754,304
3954.621766,296
3954.622727,280
3954.623768,266
3954.624734,250
3954.625758,216
3954.626754,173
3954.627746,140
3954.62876,84
3954.629729,9
3954.630775,-38
3954.631773,-41
3954.632756,-13
3954.633756,32
3954.634735,84
3954.635757,141
3954.636775,177
3954.637753,193
3954.638745,202
3954.639771,203
3954.640752,212
3954.64173,203
3954.642735,189
3954.64374,187
3954.64474,171
3954.6458,140
3954.647428,113
3954.647753,112
3954.648746,176
3954.64975,230
3954.650753,260
3954.651752,264
3954.65273,246
3954.653745,251
3954.654718,264
3954.655746,244
3954.656722,206
3954.657719,177
3954.658728,163
3954.659778,149
3954.660726,118
3954.662462,86
3954.662769,42
3954.663736,2
3954.664758,-22
3954.665778,-39
3954.666739,-40
3954.667759,-11
3954.668743,34
3954.669742,91
3954.67074,149
3954.671762,205
3954.672754,266
3954.673744,306
3954.67471,304
3954.675709,261
3954.676731,219
3954.677712,221
3954.678725,243
3954.679722,245
3954.680711,223
3954.681767,204
3954.682753,167
3954.683739,160
3954.684727,200
3954.685759,244
3954.686747,267
3954.687739,274
3954.688759,265
3954.689717,226
3954.690772,169
3954.691726,128
3954.692732,111
3954.693723,78
3954.694732,58
3954.69577,81
3954.696736,125
3954.697753,180
3954.698745,230
3954.699737,252
3954.70073,284
3954.701744,327
3954.702752,367
3954.703724,425
3954.704703,478
3954.705743,504
3954.706779,512
3954.707707,520
3954.708708,521
3954.709707,483
3954.71072,456
3954.711708,444
3954.712711,445
3954.713718,483
3954.714712,549
3954.715743,615
3954.716725,687
3954.717732,793
3954.718743,907
3954.719726,1020
3954.720733,1116
3954.721726,1184
3954.722729,1198
3954.723744,1162
3954.724722,1089
3954.725712,1028
3954.72671,956
3954.727715,863
3954.728725,787
3954.729727,731
3954.730702,669
3954.731724,601
3954.732734,559
3954.73374,534
3954.734752,498
3954.735714,458
3954.736725,412
3954.73774,373
3954.738719,321
3954.739727,253
3954.740738,202
3954.741738,171
3954.742727,139
3954.743726,90
3954.744718,37
3954.745717,-18
3954.746713,-63
3954.747717,-80
3954.748727,-81
3954.749737,-63
3954.750748,-14
3954.751749,50
3954.752736,139
3954.753748,208
3954.754737,253
3954.755802,292
3954.756741,277
3954.757718,193
3954.75873,137
3954.759736,129
3954.76073,131
3954.761718,125
3954.762724,102
3954.763733,87
3954.764731,99
3954.765747,126
3954.766736,154
3954.767743,170
3954.768778,180
3954.769983,207
3954.770974,243
3954.771991,264
3954.772977,259
3954.77398,267
3954.774974,299
3954.775958,298
3954.776955,257
3954.777944,218
3954.778952,175
3954.779958,106
3954.780971,51
3954.781952,19
3954.782952,21
3954.783928,68
3954.784964,142
3954.785982,224
3954.786949,291
3954.787945,317
3954.788931,315
3954.789944,300
3954.790944,280
3954.791944,257
3954.792952,225
3954.793953,176
3954.794941,134
3954.795917,107
3954.796915,103
3954.797912,112
3954.798923,129
3954.799912,158
3954.8009,232
3954.801896,313
3954.802922,376
3954.803892,427
3954.804877,441
3954.805893,418
3954.80692,378
3954.807893,339
3954.808923,272
3954.809904,195
3954.810877,122
3954.811906,79
3954.812903,65
3954.813904,71
3954.814892,104
3954.815911,177
3954.816883,253
3954.817869,293
3954.818917,323
3954.819873,377
3954.820903,410
3954.82189,401
3954.822889,376
3954.82387,334
3954.824887,290
3954.825877,254
3954.8269,223
3954.827871,179
3954.82886,123
3954.829862,69
3954.830848,53
3954.831864,70
3954.83287,112
3954.83385,206
3954.834859,282
3954.835835,299
3954.836839,317
3954.837865,362
3954.838869,392
3954.839888,374
3954.840825,331
3954.841821,299
3954.84283,281
3954.843828,270
3954.844825,263
3954.845825,241
3954.846857,200
3954.84783,146
3954.84882,101
3954.849825,99
3954.850813,167
3954.85183,261
3954.852826,320
3954.853819,375
3954.854807,424
3954.855802,434
3954.856796,401
3954.857805,352
3954.858839,327
3954.859805,303
3954.8608,250
3954.86179,192
3954.862826,157
3954.863817,137
3954.864806,117
3954.865807,110
3954.866801,126
3954.867766,196
3954.868821,271
3954.86979,343
3954.87075,417
3954.871802,455
3954.872779,459
3954.873789,452
3954.87477,428
3954.875756,389
3954.876738,327
3954.87776,274
3954.878773,231
3954.879763,195
3954.880775,187
3954.881784,198
3954.882786,231
3954.883738,283
3954.884764,335
3954.88575,378
3954.886753,424
3954.88775,464
3954.888765,453
3954.889757,426
3954.890712,436
3954.891762,433
3954.892738,375
3954.893741,317
3954.894743,315
3954.895745,322
3954.896748,312
3954.89775,307
3954.898752,328
3954.899754,370
3954.900757,436
3954.901759,509
3954.902761,557
3954.903764,569
3954.904766,533
3954.905762,474
3954.9067,412
3954.907713,368
3954.908734,349
3954.909731,333
3954.910719,326
3954.911735,336
3954.912733,337
3954.91377,331
3954.914695,316
3954.915735,299
3954.916723,318
3954.917726,369
3954.918736,392
3954.919747,388
3954.920736,433
3954.921725,494
3954.922726,529
3954.923696,500
3954.924743,424
3954.925706,359
3954.926714,315
3954.927707,285
3954.928708,287
3954.929727,344
3954.930761,414
3954.931738,450
3954.932727,444
3954.933719,440
3954.934734,467
3954.935753,505
3954.936745,539
3954.937728,556
3954.938716,550
3954.939704,506
3954.94073,442
3954.941695,421
3954.942711,443
3954.943732,467
3954.944694,453
3954.945691,399
3954.946735,349
3954.947743,352
3954.948737,388
3954.949728,428
3954.950727,455
3954.951751,454
3954.952716,479
3954.953748,540
3954.954699,571
3954.955737,571
3954.956721,523
3954.958473,459
3954.958775,413
3954.959731,387
3954.960713,365
3954.961713,353
3954.962726,338
3954.963743,342
3954.964739,379
3954.965729,408
3954.96674,400
3954.967735,414
3954.968721,457
3954.969781,476
3954.970703,483
3954.971771,463
3954.972728,428
3954.973723,388
3954.974719,330
3954.975708,262
3954.97671,189
3954.977728,149
3954.978713,134
3954.979704,132
3954.980742,144
3954.98183,174
3954.982749,224
3954.983719,282
3954.98473,339
3954.985738,377
3954.986719,431
3954.987784,501
3954.988717,542
3954.989726,504
3954.990719,442
3954.991721,403
3954.992798,373
3954.993821,349
3954.9947,316
3954.995708,261
3954.996706,199
3954.997763,160
3954.998737,133
3954.999745,101
3955.000743,114
3955.001745,191
3955.002727,241
3955.004735,240
3955.005089,248
3955.006333,259
3955.006728,257
3955.00772,229
3955.008719,204
3955.009756,198
3955.010726,180
3955.011726,127
3955.012704,78
3955.013739,42
3955.014748,62
3955.015784,97
3955.0168,110
3955.017737,138
