timestamp,New ECG Sample
508.370076,-63
508.370954,-61
508.371976,-63
508.37289,-71
508.373974,-77
508.374907,-75
508.37591,-74
508.376922,-74
508.377903,-74
508.378862,-78
508.379864,-80
508.380866,-74
508.381865,-64
508.382853,-61
508.383841,-61
508.384847,-63
508.385914,-65
508.386807,-63
508.387822,-61
508.388812,-64
508.389787,-72
508.390821,-76
508.391801,-74
508.392794,-72
508.393873,-72
508.394767,-73
508.395784,-78
508.396771,-79
508.397797,-71
508.398721,-61
508.399741,-58
508.400744,-59
508.40174,-61
508.402763,-62
508.40374,-59
508.40488,-57
508.405747,-62
508.406739,-71
508.40773,-74
508.408673,-73
508.409692,-72
508.410729,-72
508.411686,-74
508.412646,-79
508.413661,-77
508.41469,-68
508.415677,-58
508.416649,-55
508.417671,-57
508.41867,-59
508.419642,-60
508.420715,-57
508.421554,-55
508.422653,-62
508.423713,-71
508.42463,-71
508.425608,-69
508.426575,-68
508.427557,-68
508.428542,-71
508.429601,-76
508.430568,-73
508.431522,-63
508.432554,-57
508.433667,-55
508.434501,-56
508.435522,-58
508.436508,-57
508.437484,-54
508.438494,-54
508.439497,-62
508.440482,-69
508.441508,-70
508.442461,-69
508.443445,-68
508.4445,-69
508.445466,-72
508.446429,-76
508.447421,-71
508.448426,-60
508.44939,-55
508.450363,-54
508.451506,-55
508.452428,-57
508.453365,-57
508.454377,-53
508.455369,-55
508.456366,-64
508.457401,-69
508.458345,-69
508.459347,-68
508.46032,-67
508.461372,-68
508.462476,-72
508.463301,-74
508.464504,-66
508.46534,-57
508.466303,-53
508.467281,-53
508.468364,-56
508.4693,-56
508.470237,-53
508.471286,-51
508.47224,-55
508.473312,-63
508.474246,-67
508.475217,-66
508.476271,-64
508.477325,-65
508.47838,-67
508.479434,-70
508.480488,-71
508.481543,-62
508.482597,-53
508.483651,-51
508.484706,-52
508.48576,-54
508.486192,-54
508.487152,-52
508.488137,-50
508.489143,-56
508.490172,-65
508.49109,-68
508.492103,-65
508.493124,-63
508.494094,-64
508.495101,-68
508.496122,-70
508.49741,-65
508.498071,-50
508.499058,-37
508.500106,-32
508.501043,-30
508.502086,-28
508.50304,-23
508.504029,-17
508.505001,-16
508.506009,-19
508.506993,-22
508.508102,-18
508.508986,-13
508.509952,-8
508.510978,-4
508.511974,-2
508.512948,-2
508.513941,9
508.51496,22
508.515941,31
508.517734,33
508.519194,36
508.519452,38
508.519957,43
508.520926,48
508.521875,50
508.522873,44
508.523878,40
508.52494,42
508.525879,48
508.526889,51
508.52786,53
508.528979,52
508.53007,51
508.530873,57
508.531827,67
508.53282,72
508.533858,73
508.534811,71
508.535825,69
508.536814,72
508.537785,73
508.538988,69
508.539753,58
508.540763,55
508.541779,55
508.542759,56
508.543742,52
508.544744,49
508.545756,41
508.546787,37
508.547749,43
508.548705,49
508.549699,50
508.550735,47
508.551848,42
508.552753,36
508.55372,35
508.554682,32
508.555708,23
508.55666,10
508.557684,3
508.558677,2
