timestamp,New ECG Sample
2880.644176,45
2880.645189,4
2880.646178,-56
2880.647173,-82
2880.648181,-59
2880.649135,-47
2880.650126,-54
2880.651117,-65
2880.65217,-58
2880.653204,-15
2880.654089,60
2880.655085,105
2880.656073,58
2880.657095,-12
2880.658066,-14
2880.659048,22
2880.660056,41
2880.661071,44
2880.662099,41
2880.663042,37
2880.664082,21
2880.66502,-73
2880.665997,-231
2880.667036,-346
2880.668012,-340
2880.669023,-234
2880.67001,-86
2880.671002,33
2880.671992,78
2880.67299,88
2880.673961,113
2880.674951,105
2880.675945,48
2880.676937,23
2880.677902,15
2880.678957,-16
2880.679892,-67
2880.680974,-94
2880.681925,-87
2880.682915,-120
2880.683902,-161
2880.684891,-178
2880.68589,-163
2880.686884,-79
2880.687857,5
2880.688892,19
2880.689837,15
2880.690862,5
2880.69184,12
2880.692831,36
2880.693828,37
2880.694812,-40
2880.69584,-111
2880.696815,-135
2880.697825,-111
2880.698779,-92
2880.699768,-119
2880.700777,-148
2880.701902,-118
2880.702777,-37
2880.703774,39
2880.70475,51
2880.705758,34
2880.706743,28
2880.707737,48
2880.708762,76
2880.709737,95
2880.710719,65
2880.711706,-36
2880.71438,-134
2880.714512,-142
2880.714686,-97
2880.715695,-109
2880.716663,-157
2880.717654,-135
2880.718677,-102
2880.719643,-117
2880.720635,-46
2880.721636,47
2880.722698,62
2880.723624,40
2880.724644,49
2880.725607,60
2880.726593,19
2880.72759,-26
2880.728588,-46
2880.729615,-36
2880.730653,-11
2880.731558,-15
2880.732573,-69
2880.733561,-115
2880.734565,-125
2880.735549,-81
2880.736539,-28
2880.737525,-23
2880.738522,-23
2880.739505,27
2880.74051,76
2880.74151,96
2880.742504,126
2880.743477,124
2880.744491,73
2880.745494,-45
2880.746487,-166
2880.747491,-213
2880.748467,-195
2880.749456,-175
2880.750441,-138
2880.751475,-103
2880.752445,-65
2880.753415,-32
2880.754501,-23
2880.755409,-37
2880.756402,-12
2880.757401,32
2880.758402,44
2880.759384,24
2880.760385,2
2880.761368,-3
2880.762358,-48
2880.763345,-108
2880.764367,-126
2880.765334,-100
2880.766341,-54
2880.767335,-6
2880.768362,20
2880.769325,7
2880.770324,-26
2880.771331,-88
2880.772289,-160
2880.773276,-147
2880.774282,-77
2880.775282,-11
2880.776696,11
2880.77831,3
2880.77834,-31
2880.779261,-101
2880.780266,-125
2880.781254,-62
2880.782249,12
2880.783224,35
2880.784313,29
2880.785293,29
2880.786215,9
2880.787215,-34
2880.788204,-72
2880.789179,-78
2880.790174,-62
2880.791174,-16
2880.792157,78
2880.793158,115
2880.794157,65
2880.795185,45
2880.796165,79
2880.797135,52
2880.798139,10
2880.799173,-24
2880.800196,-85
2880.801109,-109
2880.802096,-67
2880.803105,-14
2880.804123,44
2880.805133,129
2880.806093,182
2880.807116,130
2880.808077,71
2880.809071,84
2880.810073,135
2880.811035,171
2880.812058,139
2880.813054,20
2880.81405,-110
2880.815037,-132
2880.816018,-105
2880.817001,-126
2880.817997,-146
2880.818981,-124
2880.819993,-58
2880.820965,5
2880.821959,43
2880.823008,66
2880.82397,74
2880.824967,81
2880.825961,72
2880.826961,61
2880.827938,60
2880.828945,39
2880.829893,-4
2880.83092,-34
2880.831889,-39
2880.832932,-56
2880.833912,-63
2880.834909,-52
2880.835878,-18
2880.836864,10
2880.837872,9
2880.838868,56
2880.839849,117
2880.840848,107
2880.841862,58
2880.842853,61
2880.843842,107
2880.844827,110
2880.84582,36
2880.846803,-75
2880.847811,-148
2880.8488,-160
2880.849808,-174
2880.850888,-195
2880.851755,-194
2880.852773,-175
2880.853786,-85
2880.854776,50
2880.855751,137
2880.856746,136
2880.857763,106
2880.858731,62
2880.859743,10
2880.860735,-50
2880.861694,-95
2880.862705,-125
2880.863687,-143
2880.864711,-133
2880.865685,-134
2880.866696,-147
2880.867694,-149
2880.86867,-90
2880.869658,-50
2880.870654,-36
2880.871661,-28
2880.872648,-1
2880.873627,4
2880.874631,10
2880.875618,13
2880.876613,16
2880.877601,27
2880.878584,4
2880.879616,-20
2880.880591,-41
2880.88159,-84
2880.882579,-98
2880.883564,-71
2880.884572,-59
2880.885554,-52
2880.886636,-70
2880.887566,-46
2880.888584,8
2880.889512,52
2880.890534,63
2880.891499,66
2880.892482,72
2880.893513,81
2880.894493,85
2880.895499,66
2880.896472,66
2880.897488,86
2880.898464,103
2880.899565,82
2880.900462,37
2880.901564,-55
2880.902416,-95
2880.903427,-76
2880.904418,-53
2880.905424,-18
2880.906414,30
2880.907389,30
2880.9084,-21
2880.909387,-36
2880.910376,-12
2880.911355,16
2880.912381,14
2880.913357,-32
2880.914345,-122
2880.915342,-196
2880.916365,-200
2880.917415,-173
2880.91833,-138
2880.91931,-116
2880.920311,-76
2880.921317,-18
2880.922347,32
2880.923292,48
2880.924281,51
2880.925274,81
2880.926271,107
2880.927265,107
2880.928245,62
2880.929246,-11
2880.930247,-60
2880.931239,-89
2880.932237,-79
2880.933238,-58
2880.934243,-41
2880.935251,-2
2880.936214,65
2880.937194,149
2880.938184,198
2880.939185,216
2880.94016,273
2880.941169,340
2880.942191,428
2880.94316,549
2880.944119,623
2880.945153,616
2880.946158,606
2880.947125,627
2880.948129,644
2880.949114,651
2880.950157,651
2880.951143,646
2880.952123,615
2880.953097,549
2880.954211,493
2880.955103,453
2880.956096,394
2880.957041,326
2880.958065,288
2880.95907,257
2880.960063,128
2880.961036,-20
2880.962096,-116
2880.96302,-163
2880.964038,-173
2880.965304,-203
2880.966753,-254
2880.968005,-275
2880.96806,-273
2880.968989,-280
2880.969971,-289
2880.970961,-301
2880.97196,-297
2880.972943,-268
2880.973923,-252
2880.974953,-223
2880.975936,-224
2880.976927,-254
2880.977924,-224
2880.978926,-167
2880.979907,-181
2880.980972,-228
2880.981912,-242
2880.982936,-256
2880.983938,-243
2880.984906,-162
2880.985878,-126
2880.986859,-168
2880.987868,-204
2880.988849,-170
2880.989839,-81
2880.990837,37
2880.991817,110
2880.992813,38
2880.993811,-91
2880.99482,-161
2880.995823,-187
2880.997025,-168
2880.997842,-131
2880.998809,-102
2880.999817,-102
2881.000761,-125
2881.001763,-143
2881.002768,-144
2881.003756,-144
2881.004747,-135
2881.005746,-103
2881.006724,-60
2881.007722,-17
2881.008732,15
2881.009717,40
2881.010716,72
2881.011731,82
2881.012728,53
2881.013716,-10
2881.014671,-109
2881.01568,-174
2881.016668,-182
2881.017638,-141
2881.018744,-96
2881.019634,-95
2881.020754,-90
2881.021615,-73
2881.022659,-84
2881.0237,-97
2881.024621,-86
2881.025611,-36
2881.026622,25
2881.027633,33
2881.028644,-8
2881.029655,-44
2881.030665,-60
2881.031566,-114
2881.032577,-167
2881.033551,-200
2881.034537,-202
2881.035563,-190
2881.036527,-217
2881.037541,-223
2881.038534,-178
2881.039534,-68
2881.040517,68
2881.041484,151
2881.042481,188
2881.043499,180
2881.04449,92
2881.045457,-20
2881.046474,-69
2881.047478,-80
2881.048444,-81
2881.04948,-88
2881.050424,-124
2881.051425,-139
2881.052406,-92
2881.0534,-6
2881.054372,95
2881.0554,144
2881.056411,140
2881.05736,151
2881.058366,165
2881.059367,147
2881.060365,75
2881.061372,-5
2881.062356,-62
2881.063355,-95
2881.064351,-125
2881.065314,-127
2881.066331,-95
2881.06729,-35
2881.068326,35
2881.069313,66
2881.070302,56
2881.071276,15
2881.072271,-38
2881.073262,-57
2881.074262,-28
2881.075244,0
2881.076248,6
2881.077708,-2
2881.078532,27
2881.079246,79
2881.080193,95
2881.081211,44
2881.082207,-3
2881.083201,-48
2881.084187,-93
2881.0852,-101
2881.086175,-97
2881.087168,-90
2881.088172,-40
2881.089151,37
2881.090157,133
2881.091144,183
2881.092151,155
2881.093126,119
2881.094139,74
2881.095126,36
2881.096123,37
2881.097095,14
2881.098085,-30
2881.099083,-92
2881.10008,-134
2881.10117,-114
2881.102081,-53
2881.103072,-20
2881.104063,-41
2881.105046,-73
2881.10606,-46
2881.10706,26
2881.108033,103
2881.109029,134
2881.110005,125
2881.111028,98
2881.112,54
2881.112999,60
2881.114054,57
2881.11497,-33
2881.115985,-125
2881.116971,-131
2881.117999,-70
2881.118982,-23
2881.11996,5
2881.120948,3
2881.121949,17
2881.12293,82
2881.123918,121
2881.124907,102
2881.125915,67
2881.126955,18
2881.127915,-3
2881.128893,16
2881.129896,25
2881.130919,0
2881.131864,-5
2881.132874,-47
2881.133871,-150
2881.134871,-173
2881.135912,-53
2881.136879,59
2881.137864,54
2881.138832,-38
2881.139815,-81
2881.140818,-48
2881.141807,-2
2881.1428,49
2881.143814,79
2881.144786,47
2881.145807,-48
2881.146773,-92
2881.147779,-65
2881.14877,-40
2881.149769,-14
2881.150793,36
2881.151774,79
2881.152757,95
2881.153744,107
2881.154748,142
2881.155727,195
2881.156731,242
2881.157703,236
2881.15871,185
2881.159742,129
2881.16069,53
2881.161717,-1
2881.162661,5
2881.163669,10
2881.164648,27
2881.165683,66
2881.166647,68
2881.167684,38
2881.168635,4
2881.169623,-48
2881.170654,-39
2881.171648,24
2881.172613,78
2881.173596,51
2881.174583,29
2881.175574,32
2881.176573,39
2881.177568,55
2881.178606,69
2881.179575,67
2881.180572,43
2881.181558,-13
2881.182565,-81
2881.183562,-118
2881.18455,-103
2881.185561,-43
2881.186518,9
2881.18751,63
2881.188497,94
2881.189515,82
2881.190471,77
2881.191487,115
2881.1925,100
2881.193481,53
2881.19448,38
2881.195472,18
2881.196469,-36
2881.197446,-61
2881.198458,9
2881.199434,80
2881.200411,58
2881.201409,-42
2881.202428,-95
2881.203416,-92
2881.204396,-85
2881.205455,-51
2881.206399,24
2881.207384,71
2881.208365,80
2881.209373,58
2881.21038,23
2881.211373,-32
2881.212342,-87
2881.213337,-89
2881.21435,-90
2881.215343,-131
2881.216304,-153
2881.217457,-177
2881.218334,-228
2881.219315,-234
2881.220316,-169
2881.221293,-79
2881.222281,15
2881.223262,86
2881.22427,117
2881.225255,123
2881.226238,106
2881.22725,39
2881.228247,-72
2881.229249,-174
2881.230235,-220
2881.231214,-221
2881.232213,-215
2881.233234,-219
2881.234199,-220
2881.235229,-210
2881.2362,-141
2881.237192,-88
2881.238184,-85
2881.239155,-59
2881.240179,9
2881.241142,84
2881.24215,118
2881.243132,110
2881.244162,95
2881.245169,65
2881.246132,-16
2881.247117,-110
2881.248152,-126
2881.249115,-78
2881.250116,-38
2881.251072,-32
2881.252063,-47
2881.253082,-30
2881.254081,-13
2881.255051,-25
2881.256059,-34
2881.257048,15
2881.258036,85
2881.259035,106
2881.260042,101
2881.261003,89
2881.262007,24
2881.26301,-63
2881.264083,-125
2881.264998,-116
2881.265984,-67
2881.267014,-43
2881.267978,-52
2881.268955,-54
2881.269971,-45
2881.270939,-28
2881.271908,-32
2881.27296,-31
2881.273931,-3
2881.274927,8
2881.275924,-17
2881.276921,-69
2881.277904,-104
2881.278903,-49
2881.279881,-50
2881.280877,-142
2881.281891,-202
2881.282878,-210
2881.283877,-199
2881.284901,-180
2881.285866,-120
2881.286848,-7
2881.287856,102
2881.288828,159
2881.289837,187
2881.29083,172
2881.291788,116
2881.292818,105
2881.293799,138
2881.294843,142
2881.295802,84
2881.29678,15
2881.297794,-29
2881.298772,-18
2881.299778,4
2881.300749,-10
2881.301752,-35
2881.302744,-43
2881.303759,-13
2881.304744,57
2881.305747,117
2881.306818,128
2881.307705,90
2881.308701,56
2881.309722,43
2881.310688,19
2881.311717,-32
2881.312686,-89
2881.313653,-107
2881.314668,-86
2881.315665,-79
2881.31667,-121
2881.317631,-157
2881.318648,-156
2881.319619,-141
2881.320619,-105
2881.321594,-65
2881.322593,-51
2881.323598,-62
2881.324598,-43
2881.325607,-22
2881.326597,-34
2881.32758,-73
2881.328571,-97
2881.329593,-118
2881.330563,-115
2881.331574,-88
2881.332538,-50
2881.333556,-23
2881.33453,-27
2881.335534,-28
2881.336522,-37
2881.337534,-18
2881.338513,71
2881.339477,116
2881.340467,85
2881.341498,68
2881.342488,55
2881.343474,4
2881.344463,-20
2881.345445,-9
2881.346471,-18
2881.347471,-85
2881.348436,-149
2881.349425,-189
2881.350409,-175
2881.351412,-109
2881.352419,-56
2881.353425,-11
2881.354412,30
2881.35539,80
2881.356391,92
2881.357369,111
2881.358371,124
2881.359372,113
2881.360345,22
2881.361351,-67
2881.362337,-100
2881.36333,-102
2881.364348,-120
2881.365361,-115
2881.366329,-98
2881.367311,-78
2881.368323,-41
2881.369308,-14
2881.370315,25
2881.371282,70
2881.372297,71
2881.373237,49
2881.374479,28
2881.37523,3
2881.376254,16
2881.377248,4
2881.378262,-68
2881.379239,-128
2881.380214,-120
2881.381246,-71
2881.382232,-14
2881.383201,28
2881.384263,39
2881.385191,8
2881.386247,-19
2881.387182,13
2881.388194,47
2881.38916,47
2881.390175,-5
2881.391179,-42
2881.392165,2
2881.393158,66
2881.394161,81
2881.395195,16
2881.396134,-73
2881.397102,-131
2881.398084,-112
2881.399135,-76
2881.400109,-66
2881.4011,-47
2881.402092,4
2881.403084,54
2881.40406,65
2881.405045,44
2881.40605,66
2881.407044,157
2881.408015,235
2881.409043,209
2881.410034,112
2881.41102,55
2881.412023,21
2881.413003,-9
2881.413996,-35
2881.415005,-27
2881.415967,-3
2881.417007,-1
2881.417995,-14
2881.418952,-3
2881.41997,38
2881.420927,73
2881.421948,68
2881.422929,77
2881.423921,100
2881.424921,100
2881.425895,100
2881.426898,110
2881.427907,66
2881.428886,-22
2881.429883,-79
2881.430903,-102
2881.431876,-115
2881.432892,-111
2881.433836,-76
2881.434914,-51
2881.435863,-76
2881.436835,-83
2881.437906,-43
2881.438856,1
2881.439791,23
2881.440803,19
2881.441809,-20
2881.442803,-44
2881.443807,-67
2881.444783,-100
2881.445774,-111
2881.44676,-75
2881.447778,-23
2881.448768,9
2881.449736,-16
2881.450734,-103
2881.451746,-180
2881.452703,-188
2881.453879,-151
2881.454734,-83
2881.455707,-9
2881.456703,-20
2881.457682,-67
2881.458689,-48
2881.45969,-36
2881.460681,-36
2881.461654,-64
2881.462657,-126
2881.46365,-158
2881.464648,-146
2881.465719,-115
2881.466635,-98
2881.467612,-64
2881.468631,-28
2881.469633,-15
2881.470636,-28
2881.471603,-27
2881.472619,-2
2881.473624,26
2881.474667,47
2881.475566,44
2881.476556,-22
2881.477544,-86
2881.478553,-121
2881.479537,-153
2881.480521,-206
2881.481562,-262
2881.482525,-305
