timestamp,New ECG Sample
4001.639569,-8
4001.64063,-43
4001.641605,-42
4001.642519,-41
4001.643829,-27
4001.644549,-2
4001.645529,19
4001.646533,49
4001.647492,59
4001.648536,59
4001.649489,65
4001.65048,81
4001.651467,86
4001.652489,77
4001.653506,59
4001.654518,57
4001.655452,60
4001.656448,69
4001.657453,52
4001.658441,3
4001.659442,-19
4001.660399,-19
4001.661481,-12
4001.662458,-12
4001.663407,-9
4001.664368,-27
4001.665417,-51
4001.666412,-42
4001.667419,-21
4001.668367,-11
4001.66935,-22
4001.670388,-69
4001.671357,-79
4001.672479,-54
4001.673356,-26
4001.674419,2
4001.675323,14
4001.676299,27
4001.677312,29
4001.678319,4
4001.67927,-40
4001.680281,-40
4001.681264,-20
4001.682332,-30
4001.683257,-47
4001.684264,-38
4001.685213,-35
4001.686263,-36
4001.687239,-55
4001.688231,-75
4001.689248,-67
4001.690208,-48
4001.69124,-58
4001.692169,-60
4001.69322,-38
4001.694212,-14
4001.695208,-23
4001.69621,-20
4001.697162,-10
4001.698171,-2
4001.699309,32
4001.700154,36
4001.701161,-8
4001.702142,-34
4001.703139,-33
4001.704152,-10
4001.705144,13
4001.706093,13
4001.707114,-11
4001.708094,-52
4001.709115,-102
4001.710382,-112
4001.711096,-80
4001.712083,-42
4001.713074,-25
4001.714087,-19
4001.715116,-27
4001.71603,-66
4001.717015,-75
4001.718119,-57
4001.719008,-65
4001.720071,-60
4001.721217,-15
4001.722012,44
4001.723145,59
4001.723995,23
4001.724967,-26
4001.725995,-43
4001.726996,-34
4001.727959,-30
4001.729339,-16
4001.729928,-7
4001.730948,-16
4001.731984,-25
4001.733067,1
4001.734019,30
4001.734966,29
4001.736115,30
4001.737072,30
4001.737895,20
4001.738948,12
4001.739883,4
4001.740872,-23
4001.741916,-36
4001.742906,-28
4001.743894,-5
4001.744894,21
4001.745874,34
4001.746884,24
4001.747897,29
4001.748815,56
4001.749805,99
4001.750832,129
4001.751819,123
4001.752833,126
4001.753786,116
4001.754811,103
4001.755792,107
4001.756808,129
4001.757917,170
4001.758786,234
4001.759806,276
4001.76075,274
4001.76182,265
4001.762711,268
4001.763918,297
4001.764766,328
4001.765759,332
4001.766763,297
4001.76771,237
4001.768762,146
4001.769709,66
4001.77068,13
4001.771694,-32
4001.772693,-64
4001.77369,-107
4001.77474,-159
4001.775649,-182
4001.776671,-217
4001.777647,-294
4001.778646,-381
4001.779698,-418
4001.780635,-406
4001.781618,-383
4001.782579,-352
4001.783602,-317
4001.784825,-298
4001.785594,-295
4001.786615,-272
4001.78755,-265
4001.788562,-224
4001.789565,-148
4001.790527,-88
4001.791608,-66
4001.79255,-71
4001.793539,-69
4001.794549,-68
4001.795653,-41
4001.796547,15
4001.797505,54
4001.798528,62
4001.79959,57
4001.800496,41
4001.80146,15
4001.802458,-15
4001.803457,-49
4001.804509,-65
4001.805473,-51
4001.80676,-19
4001.807443,11
4001.808451,35
4001.809434,56
4001.810415,53
4001.811402,40
4001.812418,37
4001.81341,42
4001.814415,36
4001.815411,28
4001.81636,59
4001.817386,109
4001.81838,115
4001.819341,96
4001.820357,72
4001.821361,68
4001.822521,59
4001.823384,31
4001.824325,12
4001.825363,23
4001.826425,52
4001.827339,74
4001.828343,82
4001.829325,55
4001.830279,26
4001.831297,8
4001.83231,28
4001.833323,52
4001.834486,52
4001.835276,15
4001.836288,-9
4001.83732,-15
4001.838252,5
4001.839212,49
4001.840219,93
4001.841698,104
4001.842203,80
4001.843273,79
4001.844252,81
4001.845291,74
4001.846199,81
4001.847255,92
4001.848144,95
4001.849522,106
4001.850162,105
4001.851145,87
4001.852162,50
4001.853186,13
4001.854154,4
4001.855139,27
4001.856229,55
4001.857121,53
4001.858227,49
4001.859177,50
4001.860093,53
4001.86108,57
4001.862194,68
4001.863117,92
4001.864033,122
4001.865051,126
4001.86608,113
4001.867043,98
4001.868023,89
4001.868998,64
4001.870047,46
4001.871029,41
4001.872187,47
4001.873075,61
4001.873985,72
4001.875,75
4001.875982,61
4001.877067,70
4001.87799,91
4001.879092,109
4001.879979,117
4001.880961,109
4001.881952,100
4001.882999,107
4001.883964,93
4001.884999,56
4001.886035,2
4001.886939,-37
4001.888065,-45
4001.888873,-25
4001.889883,-5
4001.890867,-24
4001.891877,-31
4001.892871,-1
4001.893841,29
4001.894868,52
4001.895985,80
4001.896895,91
4001.897984,91
4001.898832,104
4001.899894,143
4001.900796,196
4001.901804,197
4001.902835,173
4001.903803,154
4001.904796,135
4001.905983,104
4001.906753,77
4001.907777,67
4001.908745,76
4001.909813,120
4001.910767,172
4001.911844,190
4001.912751,194
4001.91376,165
4001.914698,109
4001.915694,63
4001.916713,28
4001.917675,0
4001.918679,12
4001.919667,31
4001.920648,41
4001.921776,53
4001.92264,81
4001.923663,114
4001.924666,126
4001.925636,117
4001.926654,110
4001.927618,114
4001.928611,143
4001.9296,165
4001.930601,148
4001.93157,116
4001.932534,110
4001.933614,119
4001.934573,136
4001.93559,167
4001.936561,188
4001.937556,193
4001.938527,184
4001.939564,163
4001.9405,150
4001.941556,127
4001.942538,111
4001.943548,118
4001.944564,147
4001.945536,163
4001.946486,152
4001.94747,135
4001.948486,132
4001.949577,151
4001.950468,181
4001.951452,200
4001.952472,197
4001.953445,179
4001.954464,157
4001.955444,162
4001.956566,171
4001.957436,149
4001.958421,120
4001.959399,125
4001.960418,161
4001.961443,209
4001.962402,227
4001.963368,208
4001.964333,177
4001.96543,188
4001.966421,227
4001.967445,244
4001.968396,228
4001.969401,214
4001.970331,218
4001.971382,219
4001.972357,215
4001.973363,199
4001.97432,169
4001.975332,155
4001.976336,167
4001.977252,174
4001.978462,177
4001.979299,180
4001.980255,188
4001.981253,189
4001.982244,177
4001.983233,185
4001.984247,198
4001.985265,193
4001.986233,191
4001.9872,198
4001.988231,208
4001.989194,214
4001.990445,208
4001.99121,182
4001.992216,134
4001.993187,80
4001.994188,52
4001.995214,60
4001.996141,79
4001.997283,106
4001.998174,133
4001.999175,156
4002.000141,154
4002.00115,104
4002.002392,44
4002.003199,22
4002.004118,64
4002.005087,85
4002.006095,46
4002.007092,-33
4002.008072,-90
4002.009119,-109
4002.010086,-100
4002.01113,-90
4002.012083,-83
4002.013106,-85
4002.014129,-87
4002.015151,-88
4002.016031,-79
4002.017008,-58
4002.018064,-50
4002.019027,-61
4002.019993,-78
4002.020973,-94
4002.021992,-105
4002.022985,-108
4002.024309,-130
4002.02496,-166
4002.025977,-185
4002.026948,-187
4002.027973,-179
4002.028975,-172
4002.029977,-175
4002.030979,-171
4002.03198,-147
4002.032982,-135
4002.033984,-141
4002.034986,-140
4002.035988,-138
4002.036989,-147
4002.037951,-151
4002.038864,-168
4002.039931,-183
4002.04085,-197
4002.041857,-209
4002.042989,-197
4002.043846,-159
4002.04483,-122
4002.045834,-103
4002.047079,-91
4002.047811,-94
4002.04881,-94
4002.049844,-81
4002.050791,-83
4002.051779,-106
4002.052788,-146
4002.053785,-171
4002.054757,-176
4002.055832,-178
4002.056813,-181
4002.057892,-187
4002.058722,-192
4002.059826,-176
4002.060722,-149
4002.061732,-142
4002.062702,-128
4002.06372,-106
4002.064708,-106
4002.065897,-95
4002.066708,-98
4002.067707,-138
4002.068835,-166
4002.06981,-152
4002.070626,-136
4002.071673,-134
4002.072639,-120
4002.073626,-100
4002.074637,-138
4002.075679,-202
4002.076628,-223
4002.077663,-199
4002.078681,-163
4002.079629,-132
4002.08067,-115
4002.081606,-99
4002.082683,-76
4002.083583,-61
4002.084577,-70
4002.085573,-92
4002.086595,-99
4002.087644,-108
4002.088487,-117
4002.089641,-102
4002.090523,-80
4002.091571,-99
4002.092546,-166
4002.093597,-180
4002.094545,-147
4002.095608,-110
4002.096507,-91
4002.097503,-91
4002.098495,-94
4002.099487,-86
4002.100455,-76
4002.101638,-64
4002.102428,-57
4002.103757,-61
4002.104455,-72
4002.105406,-73
4002.106481,-96
4002.107478,-135
4002.108423,-154
4002.109429,-158
4002.110393,-157
4002.111382,-138
4002.112435,-111
4002.113471,-76
4002.114654,-57
4002.115402,-70
4002.116375,-79
4002.117339,-74
4002.118332,-66
4002.119347,-62
4002.120335,-68
4002.121675,-94
4002.122298,-86
4002.123337,-48
4002.124496,-34
4002.125292,-42
4002.126574,-36
4002.127301,-28
4002.128307,-38
4002.129314,-54
4002.13032,-87
4002.131326,-126
4002.132333,-136
4002.133339,-127
4002.134345,-127
4002.135352,-123
4002.136358,-113
4002.137365,-95
4002.138371,-77
4002.139377,-62
4002.140384,-54
4002.14139,-45
4002.142292,-35
4002.143259,-20
4002.144205,-25
4002.145183,-60
4002.146186,-86
4002.147149,-82
4002.148138,-74
4002.149136,-48
4002.150124,-11
4002.151132,50
4002.152114,109
4002.153191,103
4002.154207,41
4002.15512,-22
4002.156124,-52
4002.157101,-59
4002.15809,-65
4002.159099,-91
4002.1601,-96
4002.161066,-97
4002.162129,-88
4002.163057,-75
4002.164049,-81
4002.165031,-72
4002.166035,-37
4002.167048,-13
4002.168029,-29
4002.168974,-72
4002.170023,-108
4002.170973,-98
4002.172026,-75
4002.173018,-39
4002.174093,13
4002.17497,26
4002.175982,-18
4002.176954,-69
4002.177973,-83
4002.179076,-60
4002.179962,-23
4002.180972,-6
4002.181986,-11
4002.182928,-14
4002.183951,-3
4002.184947,-14
4002.185889,-24
4002.186947,-40
4002.18788,-49
4002.188949,-43
4002.189899,-41
4002.190928,-41
4002.191932,-49
4002.192865,-83
4002.193834,-105
4002.194857,-78
4002.195829,-31
4002.196835,2
4002.197837,-8
4002.19881,-46
4002.19979,-72
4002.200791,-91
4002.201915,-103
4002.202785,-94
4002.203787,-74
4002.204762,-54
4002.205736,-34
4002.20678,-13
4002.207727,-15
4002.208741,-28
4002.209978,-52
4002.210757,-60
4002.211762,-45
4002.212728,-17
4002.213885,9
4002.214739,4
4002.215746,-4
4002.21673,-8
4002.217689,-42
4002.218691,-73
4002.219748,-58
4002.220781,-35
4002.221718,-36
4002.222678,-59
4002.223708,-66
4002.224688,-54
4002.225693,-49
4002.226653,-55
4002.227657,-61
4002.228703,-54
4002.229581,-51
4002.23076,-40
4002.231663,-26
4002.232681,5
4002.233546,45
4002.23458,60
4002.235769,22
4002.23657,-32
4002.237697,-44
4002.238629,-14
4002.239655,-2
4002.240529,-14
4002.241529,-35
4002.242538,-63
4002.243494,-71
4002.244529,-42
4002.245552,-9
4002.246543,5
4002.247488,-6
4002.249175,-17
4002.250661,17
4002.250743,50
4002.251634,22
4002.252449,-3
4002.253465,-26
4002.254447,-58
4002.255458,-54
4002.256521,-34
4002.257417,-49
4002.258438,-93
4002.259423,-114
4002.260387,-95
4002.261433,-56
4002.262402,-14
4002.263612,18
4002.264522,37
4002.266258,44
4002.266385,39
4002.267451,28
4002.269315,5
4002.269377,-28
4002.270328,-50
4002.271337,-56
4002.272331,-42
4002.27334,-17
4002.274324,-4
4002.275335,-15
4002.276388,-33
4002.27727,-35
4002.278326,-22
4002.279275,-11
4002.280255,6
4002.281439,39
4002.282413,77
4002.283217,111
4002.284254,117
4002.285252,80
4002.286234,32
4002.28723,8
4002.288205,2
4002.289204,11
4002.290286,22
4002.291164,25
4002.29245,23
4002.293235,8
4002.294255,1
4002.295159,-3
4002.296237,3
4002.297172,26
4002.298154,53
4002.299247,60
4002.300143,62
4002.301231,58
4002.302119,39
4002.303121,29
4002.304178,43
4002.305099,69
4002.30611,72
4002.307345,51
4002.308317,50
4002.309198,64
4002.310158,57
4002.311044,42
4002.312091,54
4002.313092,73
4002.314015,65
4002.315039,37
4002.315978,31
4002.316981,45
4002.318007,41
4002.318966,31
4002.320025,17
4002.320995,8
4002.321972,-6
4002.32297,8
4002.323971,11
4002.324947,-39
4002.325974,-80
4002.326934,-82
4002.327959,-64
4002.328977,-41
4002.329942,-35
4002.330916,-62
4002.331924,-91
4002.332956,-91
4002.334102,-64
4002.334975,-51
4002.335922,-59
4002.33693,-66
4002.337893,-57
4002.33883,-57
4002.339838,-69
4002.340865,-68
4002.341852,-88
4002.342827,-102
4002.343848,-93
4002.344818,-104
4002.345804,-127
4002.346831,-126
4002.347832,-86
4002.348908,-31
4002.349774,18
4002.350802,35
4002.351802,2
4002.352759,-33
4002.353771,-51
4002.354801,-56
4002.355764,-27
4002.356767,-8
4002.357823,-26
4002.359165,-46
4002.360062,-40
4002.360735,-36
4002.361725,-25
4002.362759,-19
4002.363728,-18
4002.364728,-10
4002.365696,-4
4002.366753,-14
4002.367755,-25
4002.368903,-29
4002.369644,-26
4002.370643,-15
4002.371652,0
4002.372671,1
4002.37364,-14
4002.374631,-48
4002.375648,-66
4002.376676,-32
4002.377615,-12
4002.378623,-15
4002.379605,-32
4002.380633,-44
4002.381612,-30
4002.382587,-2
4002.383591,23
4002.384588,39
4002.385539,17
4002.386553,-40
4002.387613,-83
4002.388513,-91
4002.389505,-55
4002.39049,-12
4002.391526,-10
4002.39253,-37
4002.393513,-51
4002.394511,-28
4002.395552,-25
4002.396487,-35
4002.397493,-63
4002.398508,-92
4002.399466,-90
4002.400475,-65
4002.401498,-43
4002.402523,-34
4002.403439,-31
4002.404729,-49
4002.405481,-70
4002.406433,-42
4002.407387,-15
4002.408471,-8
4002.409446,13
4002.410418,13
4002.411388,5
4002.412411,18
4002.413428,33
4002.414335,42
4002.415321,55
4002.416336,93
4002.417332,122
4002.418333,134
4002.419462,141
4002.420357,159
4002.42134,180
4002.42229,202
4002.423287,254
4002.424266,318
4002.425422,357
4002.426329,373
4002.427272,374
4002.428262,355
4002.42927,366
4002.43022,410
4002.431306,446
4002.432276,445
4002.433256,394
4002.434296,316
4002.4352,227
4002.436243,144
4002.43722,86
4002.438312,55
4002.43919,26
4002.440205,-32
4002.441195,-134
4002.44221,-231
4002.443261,-278
4002.444163,-283
4002.445167,-281
4002.446155,-293
4002.447163,-317
4002.448147,-334
4002.449132,-341
4002.45014,-321
4002.451183,-283
4002.452132,-248
4002.453094,-217
4002.454078,-177
4002.455062,-129
4002.456091,-95
4002.457076,-103
4002.458149,-121
4002.459071,-138
4002.460091,-155
4002.461101,-135
4002.462054,-100
4002.463051,-87
4002.464042,-96
4002.465009,-92
4002.466099,-66
4002.467001,-31
4002.46803,1
4002.46906,6
4002.470033,1
4002.470978,19
4002.471963,42
4002.473055,46
4002.473972,30
4002.47503,5
4002.47604,6
4002.476959,29
4002.477954,15
4002.478932,-19
4002.480126,-35
4002.480986,-45
4002.482108,-50
4002.482875,-45
4002.483916,6
4002.485095,60
4002.48596,80
4002.486918,65
4002.487938,37
4002.488861,11
4002.489876,12
4002.490851,0
4002.492083,-35
4002.492829,-63
4002.493794,-76
4002.494817,-62
4002.495812,-48
4002.496895,-45
4002.497801,-21
4002.498787,7
4002.499792,44
4002.500791,90
4002.501866,110
4002.503127,96
4002.503758,78
4002.504735,62
4002.505755,60
4002.506699,59
4002.507741,44
4002.508724,40
4002.509721,50
4002.510766,72
4002.511726,86
4002.512715,90
4002.51367,85
4002.514718,62
4002.515674,48
4002.516707,64
4002.517683,99
4002.518694,125
4002.519683,115
4002.520652,77
4002.521662,62
4002.52265,69
4002.523633,47
4002.524622,23
4002.525697,10
4002.526608,6
4002.527588,9
4002.528677,-7
4002.529901,-36
4002.530679,-51
4002.531797,-31
4002.53264,0
4002.533554,34
4002.534579,40
4002.535545,42
4002.536694,70
4002.537594,86
4002.538539,53
4002.539537,29
4002.540557,-2
4002.541499,-23
4002.542477,-10
4002.54348,10
4002.544499,11
4002.545607,5
4002.546495,3
4002.547681,16
4002.548477,56
4002.549455,87
4002.550544,108
4002.551447,122
4002.552474,107
4002.553441,82
4002.554437,60
4002.555437,52
4002.55642,42
4002.557415,-1
4002.558402,-36
4002.559765,-26
4002.560524,18
4002.561389,61
4002.562449,87
4002.563388,82
4002.564383,48
4002.565359,14
4002.56636,12
4002.567345,55
4002.568335,91
4002.569335,98
4002.570323,96
4002.57129,80
4002.572291,69
4002.573304,62
4002.574339,55
4002.575268,49
4002.576324,58
4002.577321,76
4002.578304,86
4002.579287,93
4002.580271,92
4002.581297,68
4002.58231,57
4002.583289,77
4002.584229,107
4002.585242,111
4002.586229,109
4002.587232,114
4002.588241,128
4002.589158,143
4002.590221,174
4002.591221,190
4002.592233,162
4002.593196,112
4002.594197,75
4002.595235,52
4002.596172,43
4002.597133,56
4002.598154,87
4002.599461,112
4002.600127,130
4002.601151,138
4002.602148,115
4002.603105,86
4002.604196,97
4002.605126,120
4002.606096,120
4002.607111,117
4002.609508,120
4002.610603,123
4002.611048,157
4002.611493,162
4002.612049,124
4002.613121,131
4002.614205,164
4002.615221,169
4002.616014,155
4002.617019,171
4002.61817,195
4002.619066,191
4002.620075,148
4002.620988,82
4002.622129,47
4002.623039,72
4002.623984,95
4002.624959,106
4002.625963,103
4002.626933,91
4002.627942,103
4002.628949,127
4002.629901,140
4002.630901,150
4002.631897,148
4002.632908,161
4002.633906,206
4002.634879,243
4002.63588,248
4002.636926,228
4002.63809,198
4002.638873,174
4002.639872,173
4002.640968,183
4002.641845,184
4002.642837,194
4002.64384,189
4002.644856,172
4002.645849,156
4002.646817,159
4002.64794,157
4002.64886,152
4002.64981,172
4002.650765,190
4002.651783,175
4002.652795,149
4002.653807,134
4002.654757,147
4002.655705,162
4002.65679,155
4002.657738,141
4002.658761,136
4002.659884,142
4002.660747,136
4002.661876,102
4002.662745,77
4002.663801,81
4002.664977,73
4002.665894,35
4002.666698,9
4002.667714,16
4002.669918,28
4002.670027,32
4002.670714,41
4002.67168,64
4002.672696,50
4002.673629,-10
4002.674659,-43
4002.675636,-45
4002.676626,-28
4002.677617,-7
4002.678722,12
4002.679576,21
4002.680721,7
4002.681579,-36
4002.682601,-83
4002.68362,-125
4002.684604,-155
4002.685555,-166
4002.686548,-157
4002.68752,-123
4002.688536,-117
4002.689533,-112
4002.690545,-110
4002.691481,-125
4002.692516,-149
4002.693511,-171
4002.694482,-185
4002.695488,-176
4002.696451,-173
4002.697484,-197
4002.698473,-211
4002.699441,-188
4002.700492,-138
4002.701452,-91
4002.702446,-73
4002.703434,-89
4002.704414,-118
4002.705416,-143
4002.706397,-144
4002.707398,-136
4002.708422,-132
4002.709717,-149
4002.710414,-158
4002.711388,-165
4002.712876,-171
4002.713441,-179
4002.714372,-205
4002.715366,-223
4002.716354,-207
4002.717301,-183
4002.718331,-185
4002.719307,-191
4002.720326,-192
4002.721319,-183
4002.722311,-166
4002.723356,-142
4002.724316,-126
4002.725428,-132
4002.726291,-150
4002.727317,-144
4002.728299,-126
4002.729265,-105
4002.730257,-91
4002.731236,-101
4002.732258,-118
4002.73329,-130
4002.734215,-152
4002.735237,-160
4002.736203,-161
4002.737224,-190
4002.738194,-209
4002.739207,-187
4002.740157,-145
4002.741167,-127
4002.742181,-136
4002.743153,-125
4002.744144,-96
4002.745141,-63
4002.746165,-51
4002.747133,-48
4002.74813,-77
4002.749114,-124
4002.750125,-159
4002.751204,-159
4002.752405,-143
4002.753157,-116
4002.754098,-90
4002.755064,-76
4002.756076,-79
4002.757041,-77
4002.758062,-84
4002.759053,-86
4002.760054,-71
4002.761038,-52
4002.76214,-67
4002.763057,-89
4002.764026,-89
4002.765003,-85
4002.765994,-97
4002.767003,-114
4002.767996,-120
4002.768993,-140
4002.769982,-167
4002.770976,-174
4002.771971,-154
4002.772978,-146
4002.773963,-146
4002.774983,-139
4002.77598,-105
4002.776942,-50
4002.778048,5
4002.778925,21
4002.779961,12
4002.780912,3
4002.78188,-20
4002.78289,-51
4002.783895,-61
4002.784871,-69
4002.78587,-82
4002.786894,-108
4002.78788,-138
4002.788899,-152
4002.789872,-135
4002.790946,-106
4002.791837,-100
4002.792927,-113
4002.793849,-106
4002.794842,-81
4002.795838,-54
4002.796824,-29
4002.797797,-13
4002.798781,-11
4002.799789,-16
4002.800809,-18
4002.801787,-22
4002.802755,-38
4002.803783,-54
4002.804737,-50
4002.805794,-33
4002.80675,-12
4002.8078,2
4002.808789,-8
4002.809698,-38
4002.8107,-88
4002.811717,-87
4002.812691,-57
4002.813715,-48
4002.814722,-53
4002.815671,-56
4002.816645,-37
4002.817693,-16
4002.818687,-25
4002.819636,-37
4002.820689,-31
4002.821652,-17
4002.822645,3
4002.823649,5
4002.824624,-15
4002.825601,-61
4002.82662,-100
4002.82757,-109
4002.828623,-97
4002.829599,-76
4002.830976,-84
4002.831588,-122
4002.83259,-119
4002.833587,-90
4002.834562,-61
4002.835555,-50
4002.836605,-52
4002.837571,-56
4002.838504,-62
4002.839574,-60
4002.840575,-46
4002.841514,-40
4002.842511,-34
4002.843545,-14
4002.844491,-2
4002.845488,-12
4002.846475,-26
4002.847483,-42
4002.848448,-70
4002.849464,-91
4002.850444,-100
4002.851463,-90
4002.852441,-66
4002.853461,-29
4002.854444,5
4002.855434,9
4002.856479,9
4002.857466,15
4002.858534,-23
4002.85941,-72
4002.860477,-91
4002.861372,-91
4002.8624,-91
4002.863404,-78
4002.864356,-66
4002.865359,-58
4002.866362,-49
4002.867393,-44
4002.868353,-32
4002.869335,-36
4002.870373,-66
4002.871322,-59
4002.872327,8
4002.873293,59
4002.874335,42
4002.875304,7
4002.876278,8
4002.877251,7
4002.878246,-18
4002.879256,-53
4002.88023,-78
4002.881409,-79
4002.882243,-75
4002.883243,-64
4002.884266,-42
4002.885245,-35
4002.886194,-33
4002.887201,-15
4002.888286,-21
4002.889204,-33
4002.89019,-44
4002.891176,-50
4002.892302,-57
4002.89331,-65
4002.894185,-59
4002.895239,-54
4002.89617,-62
4002.89716,-58
4002.898143,-49
4002.899146,-38
4002.90015,-19
4002.90115,10
4002.902182,23
4002.903091,29
4002.904889,30
4002.905098,29
4002.906094,35
4002.907093,52
4002.908073,46
4002.90907,9
4002.910041,-30
4002.91109,-45
4002.912111,-38
4002.913023,-29
4002.914041,-30
4002.915066,-40
4002.916032,-22
4002.917023,17
4002.917998,45
4002.918988,54
4002.920159,30
4002.920976,-21
4002.92197,-78
4002.922967,-101
4002.923983,-77
4002.924942,-24
4002.925955,6
4002.926976,-4
4002.928007,-50
4002.928932,-81
4002.92992,-81
4002.93093,-96
4002.931894,-108
4002.932904,-89
4002.933885,-62
4002.934955,-50
4002.936217,-48
4002.93688,-48
4002.937852,-40
4002.938861,-26
4002.93999,-21
4002.940867,-30
4002.94187,-48
4002.942817,-72
4002.943847,-59
4002.94487,-7
