timestamp,New ECG Sample
4694.375775,-72
4694.376761,-72
4694.377762,-80
4694.378764,-84
4694.379865,-83
4694.380755,-115
4694.381703,-148
4694.382745,-138
4694.383736,-118
4694.384765,-85
4694.385778,-49
4694.386679,-60
4694.387698,-43
4694.388677,-2
4694.389703,14
4694.390673,25
4694.391693,26
4694.392741,-7
4694.393662,-49
4694.394653,-80
4694.395676,-84
4694.396638,-64
4694.397643,-19
4694.39869,19
4694.399628,-18
4694.40059,-78
4694.401591,-97
4694.402644,-56
4694.403621,-4
4694.404584,-43
4694.405541,-142
4694.406582,-195
4694.407972,-187
4694.409774,-146
4694.409807,-107
4694.41054,-82
4694.411555,-57
4694.412535,-48
4694.413535,-92
4694.414503,-115
4694.415525,-100
4694.416517,-71
4694.417483,-40
4694.418509,6
4694.419487,52
4694.420749,27
4694.421544,-37
4694.422551,-48
4694.423484,-3
4694.424457,10
4694.425619,-4
4694.426424,-85
4694.427444,-136
4694.4284,-86
4694.42941,-26
4694.430399,-7
4694.431403,-29
4694.432369,-46
4694.433351,-75
4694.434409,-104
4694.435379,-104
4694.436384,-67
4694.437369,-33
4694.438352,-3
4694.43941,-5
4694.440388,-66
4694.441318,-120
4694.442318,-170
4694.443349,-214
4694.444304,-219
4694.445309,-164
4694.446334,-99
4694.447287,-72
4694.448262,-46
4694.449274,-38
4694.450256,-90
4694.451246,-122
4694.452322,-161
4694.453251,-169
4694.454239,-133
4694.455282,-113
4694.45632,-102
4694.4573,-73
4694.45819,-49
4694.459285,-41
4694.460212,-25
4694.46121,-27
4694.462201,-45
4694.463231,-35
4694.464187,-12
4694.46516,27
4694.466178,19
4694.46719,0
4694.468175,-5
4694.469126,4
4694.470276,8
4694.471221,-4
4694.472143,-26
4694.47312,-93
4694.474103,-134
4694.475112,-132
4694.476106,-112
4694.477074,-96
4694.478093,-102
4694.47908,-121
4694.480089,-135
4694.481063,-117
4694.482048,-77
4694.483072,-69
4694.484056,-79
4694.485023,-60
4694.48603,-23
4694.487035,-4
4694.488049,21
4694.489051,36
4694.490025,5
4694.491018,2
4694.492077,38
4694.493023,52
4694.494036,35
4694.494943,12
4694.496019,30
4694.497095,47
4694.497949,45
4694.498958,-45
4694.49994,-178
4694.501,-208
4694.502007,-161
4694.503013,-104
4694.503948,-88
4694.504906,-57
4694.505923,-56
4694.506889,-66
4694.507911,4
4694.508937,41
4694.509864,-5
4694.51093,-70
4694.511857,-92
4694.512842,-23
4694.513868,56
4694.514854,48
4694.51582,2
4694.516822,-29
4694.517819,-33
4694.518805,6
4694.519813,61
4694.520795,79
4694.521796,58
4694.522787,30
4694.523902,43
4694.524804,71
4694.525779,76
4694.526743,50
4694.528336,-10
4694.528776,-103
4694.529777,-175
