timestamp,New ECG Sample
5055.745167,-62
5055.746334,-33
5055.747137,-42
5055.748129,-43
5055.749242,-33
5055.750123,-52
5055.751084,-73
5055.752196,-108
5055.753081,-146
5055.754084,-178
5055.755114,-183
5055.756055,-146
5055.757121,-125
5055.758099,-116
5055.759069,-119
5055.76009,-123
5055.761028,-165
5055.762123,-167
5055.763618,-122
5055.764003,-90
5055.765015,-77
5055.766023,-94
5055.76703,-100
5055.767976,-104
5055.769029,-153
5055.770208,-214
5055.770985,-247
5055.772284,-292
5055.77298,-291
5055.773948,-239
5055.77494,-197
5055.775938,-140
5055.776974,-115
5055.777985,-124
5055.779017,-111
5055.779902,-113
5055.78092,-112
5055.781901,-66
5055.78302,-32
5055.783927,-30
5055.785106,-17
5055.785867,-2
5055.786935,16
5055.787862,23
5055.788875,14
5055.789835,-20
5055.79081,-71
5055.791839,-153
5055.79287,-211
5055.793798,-183
5055.794829,-115
5055.795796,-110
5055.796802,-145
5055.797819,-151
5055.79876,-114
5055.799804,-25
5055.800807,12
5055.801787,-56
5055.802828,-83
5055.803775,-40
5055.804779,-1
5055.805757,-63
5055.806785,-185
5055.807754,-259
5055.808761,-275
5055.809781,-284
5055.810735,-263
5055.811693,-222
5055.812825,-201
5055.813797,-186
5055.814664,-142
5055.815731,-106
5055.816664,-122
5055.817749,-150
5055.818793,-142
5055.819644,-118
5055.820675,-58
5055.82165,-26
5055.822639,-73
5055.823639,-130
5055.824658,-154
5055.825629,-181
5055.826634,-175
5055.827625,-189
5055.828595,-242
5055.829601,-239
5055.830565,-175
5055.831524,-98
5055.832581,-35
5055.834239,46
5055.835738,56
5055.835934,-11
5055.836542,-80
5055.8375,-65
5055.838554,-19
5055.839501,6
5055.840576,-28
5055.841483,-105
5055.842467,-143
5055.843477,-119
5055.844491,-91
5055.845471,-105
5055.846502,-134
5055.847458,-129
5055.848504,-83
5055.84994,-43
5055.85176,-27
5055.851788,-39
5055.85244,-52
5055.853472,-58
5055.854378,-80
5055.855425,-128
5055.856431,-117
5055.857415,-116
5055.858384,-162
5055.859435,-189
5055.860394,-177
5055.861343,-191
5055.862339,-229
5055.863642,-249
5055.864346,-278
5055.865326,-330
5055.866315,-345
5055.867352,-300
5055.868315,-256
5055.869371,-226
5055.870291,-180
5055.871276,-153
5055.872341,-153
5055.873285,-92
5055.874373,-9
5055.875386,20
5055.876255,-26
5055.877273,-68
5055.878263,-42
5055.879263,23
5055.880246,71
5055.881221,122
5055.882289,135
5055.883226,142
5055.884226,141
5055.885529,97
5055.88622,14
5055.88719,-115
5055.888185,-205
5055.889177,-196
5055.890145,-174
5055.891118,-165
5055.892176,-181
5055.893162,-174
5055.894138,-126
5055.89515,-94
5055.896157,-67
5055.897138,-51
5055.898209,-102
5055.899163,-155
5055.900134,-116
5055.90112,-44
5055.902089,-62
5055.903064,-105
5055.904067,-132
5055.905096,-110
5055.906046,-82
5055.907069,-51
5055.908035,11
5055.909009,47
5055.910051,20
5055.911021,-68
5055.911999,-137
5055.913017,-182
5055.913995,-237
5055.915012,-267
5055.915973,-290
5055.916972,-288
5055.917992,-267
5055.919227,-261
5055.920003,-227
5055.921068,-173
5055.921965,-106
5055.92302,-32
5055.923926,69
5055.924921,172
5055.925916,184
5055.926958,80
5055.927903,-56
5055.928934,-166
5055.930021,-177
5055.930943,-151
5055.931894,-153
5055.932865,-186
5055.933876,-168
5055.934867,-72
5055.935863,10
5055.936856,-13
5055.937871,-90
5055.938841,-130
5055.939844,-160
5055.940831,-167
5055.942053,-130
5055.942826,-94
5055.943812,-93
5055.944799,-59
5055.945802,-10
5055.946782,-10
5055.947864,-93
5055.948827,-165
5055.949765,-194
5055.950826,-197
5055.95178,-156
5055.952791,-80
5055.953973,-33
5055.954736,-79
5055.955863,-101
5055.956714,-87
5055.957856,-80
5055.958849,-72
5055.959701,-65
5055.960694,-59
5055.962007,-44
5055.96269,-22
5055.963687,9
5055.964673,36
5055.965868,11
5055.966645,-96
5055.967676,-164
5055.968868,-204
5055.969624,-243
5055.97062,-231
5055.971757,-254
5055.9726,-310
5055.97361,-280
5055.974584,-206
5055.975579,-150
5055.976791,-97
5055.97762,-114
5055.978582,-180
5055.979764,-204
5055.980606,-137
5055.981676,-71
5055.982586,-62
5055.983614,-70
5055.984523,-97
5055.985523,-140
5055.986525,-190
5055.987506,-287
5055.988481,-339
5055.989574,-275
5055.990569,-188
5055.991564,-130
5055.992469,-138
5055.99354,-167
5055.994443,-197
5055.995443,-250
5055.996454,-248
5055.997475,-241
5055.998436,-234
5055.999443,-118
5056.000414,-19
5056.00164,26
5056.002496,77
5056.003415,132
5056.004408,175
5056.005367,176
5056.006384,85
5056.007382,-11
5056.008363,-60
5056.009398,-109
5056.010371,-116
5056.011365,-87
5056.012325,-58
5056.013571,-36
5056.014337,-39
5056.015365,-94
5056.01631,-162
5056.017308,-151
5056.018296,-89
5056.019578,-69
5056.020418,-50
5056.021291,-74
5056.02228,-187
5056.023281,-328
5056.024271,-386
5056.025463,-337
5056.026277,-279
5056.027265,-248
5056.028293,-246
5056.029238,-269
5056.030227,-300
5056.031219,-256
5056.032208,-149
5056.033216,-76
5056.034197,20
5056.035351,142
5056.036335,209
5056.037274,266
5056.038204,320
5056.03925,296
5056.040232,296
5056.04121,356
5056.042197,409
5056.043192,459
5056.04417,529
5056.045181,586
5056.046203,652
5056.04729,715
5056.048205,742
5056.049146,714
5056.050164,682
5056.051378,676
5056.052147,618
5056.053076,505
5056.054066,393
5056.055047,302
5056.056048,273
5056.057044,228
5056.05808,125
5056.058994,48
5056.060028,37
5056.061014,51
5056.062031,5
5056.063064,-103
5056.06404,-194
5056.065013,-250
5056.066019,-263
5056.066985,-300
5056.067976,-351
5056.068963,-379
5056.069963,-341
5056.070928,-293
5056.071993,-244
5056.072955,-235
5056.074035,-261
5056.074916,-299
5056.075918,-348
5056.076937,-386
5056.077906,-421
5056.078881,-460
5056.079896,-467
5056.080888,-429
5056.081944,-332
5056.082944,-294
5056.083924,-325
5056.084893,-331
5056.085906,-310
5056.086907,-290
5056.087842,-283
5056.088949,-265
5056.089838,-240
5056.090811,-153
5056.091842,-90
5056.092787,-89
5056.093773,-92
5056.094782,-87
5056.095802,-84
5056.096792,-50
5056.097766,-77
5056.098911,-162
5056.099879,-217
5056.100773,-184
5056.102044,-25
5056.102723,58
5056.104139,-6
5056.104723,-100
5056.105803,-156
5056.106691,-148
5056.107765,-80
5056.108803,-9
5056.109714,-37
5056.110703,-132
5056.111696,-224
5056.112678,-276
5056.113645,-255
5056.114663,-252
5056.115639,-307
5056.116699,-289
5056.117697,-178
5056.118695,-70
5056.119694,8
5056.120692,68
5056.12169,130
5056.122688,149
5056.123687,90
5056.124685,13
5056.125683,-31
5056.126682,-78
5056.12768,-168
5056.128678,-251
5056.129677,-236
5056.130675,-164
5056.131673,-155
5056.132621,-192
5056.13353,-226
5056.134633,-277
5056.135611,-334
5056.136493,-321
5056.137655,-221
5056.138515,-139
5056.139511,-99
5056.140463,-67
5056.141508,-72
5056.14248,-142
5056.14355,-225
5056.144553,-255
5056.1455,-187
5056.146471,-98
5056.147447,-49
5056.148476,-25
5056.149426,-22
5056.15042,-13
5056.151409,-2
5056.152427,18
5056.153392,56
5056.154392,45
5056.155422,-61
5056.156389,-172
5056.157382,-234
5056.158377,-224
5056.15936,-208
5056.160354,-228
5056.161367,-238
5056.162357,-186
5056.163358,-106
5056.164346,-60
5056.165341,-20
5056.166301,21
5056.16732,4
5056.168308,-53
5056.169282,-59
5056.170258,-22
5056.171278,-12
5056.172397,-17
5056.173307,-4
5056.174333,15
5056.175273,-10
5056.176306,-14
5056.177242,27
5056.1783,56
5056.179358,63
5056.180416,39
5056.181342,-42
5056.182285,-110
5056.183184,-113
5056.184203,-121
5056.185285,-146
5056.186251,-91
5056.187211,2
5056.18819,46
5056.189157,16
5056.190169,-32
5056.191223,-40
5056.192158,-34
5056.193181,-51
5056.1942,-96
5056.195153,-138
5056.196161,-125
5056.197128,-92
5056.198143,-78
5056.199097,-101
5056.20012,-148
5056.201097,-186
5056.202099,-201
5056.203075,-146
5056.204376,-101
5056.205081,-124
5056.20607,-180
5056.207083,-228
5056.2081,-216
5056.209158,-179
5056.210032,-119
5056.210998,-14
5056.21208,63
5056.212988,73
5056.214058,49
5056.215036,22
5056.216047,41
5056.217015,85
5056.217959,91
5056.219076,70
5056.220001,62
5056.220955,54
5056.221934,95
5056.222939,182
5056.223964,226
5056.225071,222
5056.226016,131
5056.226966,2
5056.227949,-70
5056.2289,-55
5056.229947,-19
5056.230915,-61
5056.231976,-92
5056.232922,-136
5056.23385,-188
5056.234874,-148
5056.235901,-58
5056.236872,24
5056.237901,60
5056.238921,18
5056.239845,-40
5056.240877,-37
5056.241902,-10
5056.242813,2
5056.243854,-8
5056.244792,-23
5056.245775,-41
5056.246804,-76
5056.2478,-48
5056.248817,20
5056.24979,109
5056.250764,209
5056.252004,277
5056.252778,322
5056.253755,302
5056.254797,206
5056.255868,115
5056.256746,95
5056.257756,89
5056.258741,72
5056.259759,52
5056.260738,51
5056.261784,49
5056.2627,14
5056.263823,16
5056.264691,48
5056.265651,67
5056.266653,18
5056.267638,-26
5056.268762,-30
5056.269688,-14
5056.27063,-4
5056.27173,31
5056.272785,132
5056.273626,261
5056.274594,313
5056.275608,270
5056.276613,218
5056.277628,218
5056.278609,250
5056.279668,205
5056.280582,149
5056.281613,141
5056.282585,126
5056.283611,110
5056.284552,124
5056.28558,138
5056.2866,176
5056.287513,187
5056.288559,194
5056.289558,203
5056.290498,212
5056.292083,171
5056.292533,66
5056.29348,8
5056.294479,-27
5056.295485,-62
5056.296462,-88
5056.29746,-108
5056.298462,-65
5056.299433,4
5056.300456,112
5056.301425,172
5056.302451,176
5056.303437,182
5056.304403,191
5056.30541,215
5056.306388,209
5056.307407,158
5056.30855,58
5056.309482,5
5056.310532,42
5056.311424,72
5056.312365,57
5056.313384,38
