timestamp,LP FIR Sample,New ECG Sample,R-R Interval,bpm
2525.30248,-46,38,1157,52
2525.303465,-48,7,1157,52
2525.304448,-48,-14,1157,52
2525.305439,-47,-55,1157,52
2525.306423,-47,-84,1157,52
2525.307422,-48,-104,1157,52
2525.308405,-47,-109,1157,52
2525.309416,-46,-116,1157,52
2525.310398,-43,-117,1157,52
2525.311397,-38,-63,1157,52
2525.312403,-35,-15,1157,52
2525.313387,-36,-21,1157,52
2525.314371,-39,-26,1157,52
2525.315379,-39,-12,1157,52
2525.316359,-39,-15,1157,52
2525.317384,-39,-15,1157,52
2525.318386,-38,-27,1157,52
2525.319358,-38,-48,1157,52
2525.320356,-40,-58,1157,52
2525.321327,-45,-66,1157,52
2525.322322,-51,-88,1157,52
2525.323325,-58,-121,1157,52
2525.324312,-65,-150,1157,52
2525.325315,-67,-112,1157,52
2525.326327,-65,-39,1157,52
2525.327287,-60,6,1157,52
2525.328291,-54,5,1157,52
2525.329263,-48,-7,1157,52
2525.33026,-44,-35,1157,52
2525.331262,-43,-44,1157,52
2525.332268,-42,4,1157,52
2525.333243,-41,1,1157,52
2525.334247,-42,-44,1157,52
2525.335236,-45,-63,1157,52
2525.33625,-47,-50,1157,52
2525.337245,-47,-31,1157,52
2525.338228,-48,-33,1157,52
2525.3392,-48,-56,1157,52
2525.340194,-49,-76,1157,52
2525.341213,-50,-90,1157,52
2525.342181,-50,-78,1157,52
2525.343168,-47,-59,1157,52
2525.344185,-42,-49,1157,52
2525.345164,-38,-33,1157,52
2525.346153,-35,4,1157,52
2525.347177,-36,3,1157,52
2525.348137,-38,-42,1157,52
2525.349142,-42,-79,1157,52
2525.350139,-43,-57,1157,52
2525.351186,-39,21,1157,52
2525.352128,-37,46,1157,52
2525.353125,-36,21,1157,52
2525.354108,-34,11,1157,52
2525.355164,-30,6,1157,52
2525.356099,-29,-28,1157,52
2525.3571,-31,-67,1157,52
2525.358061,-34,-107,1157,52
2525.35921,-37,-105,1157,52
2525.360148,-37,-82,1157,52
2525.361097,-37,-78,1157,52
2525.362157,-36,-57,1157,52
2525.36322,-34,-24,1157,52
2525.364023,-30,33,1157,52
2525.365034,-24,89,1157,52
2525.366005,-20,83,1157,52
2525.36705,-18,36,1157,52
2525.368049,-16,-2,1157,52
2525.369077,-14,-32,1157,52
2525.370009,-13,-43,1157,52
2525.370997,-16,-43,1157,52
2525.371989,-22,-61,1157,52
2525.37301,-27,-96,1157,52
2525.374145,-35,-137,1157,52
2525.374961,-43,-151,1157,52
2525.375992,-48,-130,1157,52
2525.376997,-49,-83,1157,52
2525.378013,-45,-27,1157,52
2525.378954,-39,13,1157,52
2525.379989,-34,14,1157,52
2525.381006,-30,-4,1157,52
2525.381977,-28,-8,1157,52
2525.382989,-27,-1,1157,52
2525.383972,-28,2,1157,52
2525.384905,-33,-1,1157,52
2525.385872,-36,9,1157,52
2525.386865,-38,4,1157,52
2525.38792,-38,-13,1157,52
2525.388943,-39,-37,1157,52
2525.389883,-39,-50,1157,52
2525.390925,-39,-35,1157,52
2525.391858,-36,-3,1157,52
2525.392899,-32,-16,1157,52
2525.39388,-28,-54,1157,52
2525.39484,-23,-66,1157,52
2525.395958,-21,-79,1157,52
2525.396968,-21,-86,1157,52
2525.397862,-23,-69,1157,52
2525.398775,-26,-56,1157,52
2525.399767,-27,4,1157,52
2525.400816,-25,43,1157,52
2525.401803,-23,24,1157,52
2525.402793,-23,-10,1157,52
2525.403769,-25,-21,1157,52
2525.404757,-26,-31,1157,52
2525.405744,-28,-26,1157,52
2525.406751,-30,-35,1157,52
2525.407753,-32,-48,1157,52
2525.408748,-33,-74,1157,52
2525.409748,-34,-69,1157,52
2525.410734,-34,-36,1157,52
2525.411706,-35,-24,1157,52
2525.412702,-35,-15,1157,52
2525.413693,-32,8,1157,52
2525.414692,-28,12,1157,52
2525.415674,-26,-25,1157,52
2525.416692,-24,-54,1157,52
2525.417696,-23,-53,1157,52
2525.418657,-22,-21,1157,52
2525.419675,-20,26,1157,52
2525.420643,-18,96,1157,52
2525.421658,-14,94,1157,52
2525.422637,-12,29,1157,52
2525.423638,-12,-17,1157,52
2525.424625,-13,-49,1157,52
2525.425645,-15,-59,1157,52
2525.426599,-16,-52,1157,52
2525.427619,-14,-14,1157,52
2525.428595,-8,36,1157,52
2525.42964,-4,11,1157,52
2525.430605,-4,-32,1157,52
2525.431566,-5,-38,1157,52
2525.432573,-5,-16,1157,52
2525.43356,-6,-12,1157,52
2525.434629,-6,5,1157,52
2525.435574,-5,7,1157,52
2525.436547,-4,-45,1157,52
2525.437527,-3,-28,1157,52
2525.438526,0,36,1157,52
2525.43954,-1,15,1157,52
2525.44053,-7,-26,1157,52
2525.441508,-13,-32,1157,52
2525.442499,-17,-53,1157,52
