timestamp,LP FIR Sample,New ECG Sample,bpm,squared sample
175.871501,8,60,54,49
175.872473,12,34,54,144
175.87345,14,41,54,324
175.874468,13,19,54,441
175.875475,10,-40,54,484
175.876455,4,-75,54,289
175.877448,0,-45,54,121
175.878442,0,15,54,36
175.879472,1,64,54,4
175.880415,3,60,54,1
175.881417,5,44,54,9
175.882407,8,32,54,16
175.883406,12,49,54,4
175.884391,16,50,54,9
175.88539,18,10,54,64
175.886397,19,-17,54,225
175.887352,20,-18,54,400
175.888366,18,-31,54,324
175.889374,12,-85,54,121
175.89035,2,-136,54,1
175.891362,-8,-156,54,169
175.892329,-16,-120,54,576
175.893328,-19,-14,54,961
175.894336,-17,61,54,1089
175.895336,-11,74,54,841
175.896309,-5,42,54,576
175.897288,-3,5,54,529
175.898295,-4,-5,54,484
175.899305,-8,-16,54,400
175.900293,-12,-29,54,196
175.901281,-15,-15,54,49
175.902325,-17,-3,54,1
175.903301,-20,-15,54,1
175.904257,-24,-24,54,49
175.905318,-25,-12,54,196
175.906246,-23,13,54,324
175.907273,-21,36,54,324
175.908218,-17,41,54,169
175.909233,-11,40,54,9
175.910208,-3,10,54,81
175.911225,3,-4,54,324
175.912213,9,-5,54,676
175.913208,9,-18,54,841
175.914193,5,-14,54,841
175.915172,0,-25,54,625
175.916174,-4,-68,54,361
175.91717,-9,-82,54,144
175.918175,-11,-40,54,36
175.919158,-10,-6,54,1
175.920138,-7,24,54,16
175.921165,-4,54,54,49
175.922158,-1,65,54,100
175.923133,3,66,54,36
175.924107,6,47,54,1
175.925127,7,1,54,49
175.926092,5,-16,54,81
175.927079,4,5,54,169
175.928094,3,27,54,196
175.929067,3,45,54,169
175.930079,6,57,54,169
175.931082,9,53,54,169
175.932073,11,52,54,144
175.933055,15,53,54,144
175.934091,17,32,54,121
175.9355,18,-10,54,121
175.937311,18,-58,54,169
175.937353,18,-99,54,196
175.93805,14,-114,54,121
175.939017,9,-110,54,36
175.940024,3,-100,54,9
175.941062,-2,-63,54,121
175.941993,-7,-23,54,324
175.942991,-10,5,54,625
175.943995,-11,21,54,784
175.945,-9,36,54,729
175.945979,-6,49,54,576
175.946975,-4,51,54,484
175.947978,-4,18,54,324
175.948939,-9,-45,54,324
175.950097,-16,-81,54,361
175.953572,-22,-76,54,400
175.953617,-28,-61,54,441
175.953652,-32,-30,54,484
175.953951,-34,-10,54,529
175.954912,-33,5,54,576
175.955935,-29,24,54,529
175.956895,-25,-25,54,441
175.957952,-24,-79,54,400
175.958882,-21,-49,54,144
175.959864,-14,35,54,4
175.960856,-5,112,54,289
175.961854,4,172,54,1024
175.962847,12,166,54,1936
175.963897,16,105,54,2500
175.96482,15,21,54,2304
175.965834,9,-64,54,1444
175.966829,3,-87,54,784
175.967806,-1,-74,54,529
175.968814,-1,-37,54,400
175.969828,4,33,54,324
175.97079,10,49,54,225
175.971786,13,-13,54,81
175.972797,11,-72,54,1
175.973768,8,-59,54,64
175.974753,8,-3,54,49
175.975754,9,40,54,0
175.976737,13,65,54,100
175.97779,20,69,54,441
175.978735,26,67,54,729
175.979736,27,53,54,529
175.980724,24,54,54,196
175.981726,20,89,54,49
175.982729,17,94,54,36
175.983691,15,78,54,49
175.98469,17,67,54,81
175.985689,25,91,54,256
175.986682,35,104,54,484
175.987661,42,80,54,484
175.988702,47,54,54,441
175.989665,48,58,54,441
175.990682,49,61,54,625
175.99164,52,47,54,1024
175.992636,58,55,54,1681
175.993629,67,114,54,2704
175.994619,77,192,54,3600
175.995684,85,211,54,3600
175.996595,90,171,54,3025
175.997636,93,124,54,2601
175.998601,94,85,54,2209
175.99959,93,35,54,2025
176.000629,89,-25,54,1600
176.001591,83,-29,54,961
176.002571,80,27,54,484
176.003555,80,82,54,169
176.00458,83,116,54,36
176.005539,86,153,54,1
176.006533,87,132,54,9
176.007535,87,77,54,36
176.008525,88,74,54,36
176.009523,90,93,54,9
176.010509,92,101,54,9
176.011501,93,77,54,100
176.012494,93,40,54,169
176.013486,88,16,54,64
176.014543,76,-39,54,49
176.015485,61,-87,54,625
176.016483,48,-89,54,1521
176.01746,41,-25,54,2116
